Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
One of the main external factors that may cause a firm to change its business processes is,desire for growth.,competition.,high operating costs.,low employee morale.,B,"Competition. Competition is one of the main external factors that may cause a firm to change its business processes. Although desire for growth, low employee morale, and high operating costs are reasons to change business processes, these are all internal factors. August 15, 2024, from https://smallbusiness.chron.com/factors-may-cause-change-organization203.html Test 1304 3 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Operations,10,easy
Under which of the following circumstances is it appropriate for applicants to prepare interview follow-up letters:,After they have submitted application forms,Before they agree to pre-employment testing,In order to send information with rÃ©sumÃ©s,When they are no longer interested in the job,D,"When they are no longer interested in the job. One of the reasons for sending follow-up letters is to be courteous and thank interviewers for their time. Applicants who have interviewed with a business should send follow-up letters even if they are no longer interested in the job, because that will help to build a positive relationship. At some point in the future, applicants may want to be considered for other positions with that company, and their courteous behavior in the past will be remembered. Follow-up letters are not submitted with application forms, sent with rÃ©sumÃ©s, or before agreeing to pre-employment testing. from https://www.indeed.com/career-advice/interviewing/follow-up-email-examples-after-interview",Professional Development,10,medium
"Chloe recently took over the family business so that her parents could retire. While reorganizing her dad's desk so that she could use it, Chloe found several compact discs (CDs). She'd like to find out what is stored on each disc, but she doesn't have a computer with a CD drive. She can't access the data on the discs because CDs have become",destructive.,obsolete.,decentralized.,networked.,B,"Obsolete. Records can be either paper or digital. Paper records are stored in drawers, in cabinets, or on shelves. Digital records, on the other hand, are stored in computer-related media such as flash drives, networked storage servers, or discs. Unfortunately, some computer-related media, including CDs, have become obsolete, outmoded, and inaccessible; many business owners, such as Chloe, no longer own the older technology needed to access data stored in the obsolete media. CDs are not typically destructive, networked, or decentralized. https://www.lifewire.com/what-is-an-optical-disc-drive-2618157",Information Management,10,medium
"Frederic used to own the only pizza place in townâ€”until a new place opened up. Even though Frederic's never been to the new pizza place, he tells everyone he meets that the new place uses inferior ingredients and has been investigated by the health department. He even leaves negative reviews of the pizza place online. Which business tort do Frederic's actions fall under?",Wrongful interference,Unfair competition,Copyright infringement,Disparagement,D,Disparagement. Frederic is making false statements about the quality of the new pizza place's food and the cleanliness of the restaurant. He is also leaving false negative reviews of the pizza place online. This constitutes disparagement. This is not an example of unfair competition or wrongful interference. Frederic is not infringing on the new pizza place's copyright. https://www.legalmatch.com/law-library/article/business-torts.html,Business Law,1,hard
"When entering into a contract with another business, an agent is the party that represents the",consultant.,defendant.,opposition.,principal.,D,"Principal. In the legal system, an agent is a person who acts on the behalf of his/her client. The client is called the principal. A defendant is a person who is charged with a tort or crime. Opposition refers to the other party involved in a contract or dispute. A consultant is an advisor. https://www.hg.org/agency-law.html",Business Law,1,easy
The person who files a lawsuit is the,plaintiff.,defendant.,lawyer.,judge.,A,"Plaintiff. The plaintiff is the person in a case who makes a claim against another person or organization and starts the litigation process. The defendant is the person who is accused of breaking the law. The lawyer is the person who represents the plaintiff and/or defendant. The judge is the person who rules on a case. litigation process. Retrieved September 19, 2018, from https://www.stoel.com/how-does-alawsuit-work-basic-steps-in",Business Law,1,easy
Why might parties choose to use mediation to solve a dispute?,To avoid going to court,To spend more money,To do less work,To get a less personal result,A,"To avoid going to court. Parties may choose mediation if they want to avoid taking their case to court. Mediation often costs less money and results in a more personalized result. Mediation often means doing more work to resolve the dispute. 2018, from http://www.hg.org/article.asp?id=18286",Business Law,1,easy
"Sasha's science teacher is explaining lab directions to the class. They'll be performing a complicated experiment with many steps that will take about a week. The next day, Sasha tries to remember a step of the directions, but she can't. Which step of following oral directions should Sasha have followed?",Eliminate distractions,Take notes,Make eye contact,Acknowledge directions verbally or nonverbally,B,"Take notes. If a speaker is giving you multiple directions at one time, it may be useful to take notes. That way, as you complete your project, you can look back on them. If Sasha had taken notes in her situation, she'd know what to do next in her experiment. Eliminating distractions, making eye contact, and acknowledging directions are all important steps when it comes to following directions, but they are not steps that would help Sasha in this situation. Retrieved September 19, 2018, from https://thinkx.net/blog/5-steps-to-giving-and-followinginstructions-in-the-workplace",Communication Skills,1,hard
"""This is an exciting new opportunity for you,"" says Jane's boss. Which of the following nonverbal cues would appropriately reinforce that message?",Focusing eyes on the computer,Slouching,Smiling,Looking out the window,C,"Smiling. A smile conveys a positive message and reinforces good news. Poor posture sends the message that a person doesn't really care about what s/he is saying. Lack of eye contact sends a message that the speaker may not be telling the truth or may wish to be doing something else. September 19, 2018, from http://www.forbes.com/sites/jacquelynsmith/2013/03/11/10nonverbal-cues-that-convey-confidence-at-work/ Test 1185 4",Communication Skills,1,medium
"Jolie is working in a group in her business class. If she wants to contribute to her group's discussion in a meaningful way, what should she do?",Summarize what's been discussed in the conversation,Let someone know right away if his/her idea is bad or unrealistic,Wait for other people to lead the conversation when it gets silent,Ask questions as a way of judging someone else's suggestion,A,"Summarize what's been discussed in the conversation. At the end of the group's discussionâ€”or even at quiet moments along the wayâ€”it's helpful to summarize what's been discussed so far. Jolie shouldn't immediately close off an idea that's out of the ordinaryâ€”even if she thinks an idea is bad or unrealistic, it's important to listen to it. It's also important to avoid judging other group members' suggestions when asking questions. If there's a silent time when no one wants to speak, Jolie should be a leader and take the reins. She should not be intimidated by a quiet moment. https://sites.uni.edu/reineke/guidelin.htm",Communication Skills,1,medium
What are the three main purposes of oral presentations?,"To inform, inspire, and entertain","To inform, persuade, and entertain","To inform, persuade, and instruct","To interview, debate, and entertain",B,"To inform, persuade, and entertain. The three main purposes of oral presentations are to inform, persuade, and entertain. Interviews and debates are types of presentations, not purposes. An entertaining or persuasive presentation might inspire, but inspiring people is not one of the main purposes of oral presentations. An instructive presentation is an informational presentation.",Communication Skills,1,easy
Aaron prepared a detailed report for his supervisor that described several issues that Aaron's work group has been experiencing with a long-term project. Aaron described the most difficult or challenging issues in the beginning of the report and ended the report with the least important points. How did Aaron organize the information in the report?,Priority sequence,Alphabetical by category,Simple to complex,Chronological order,A,"Priority sequence. Because Aaron first describes the most challenging or critical issues, he is arranging his report by priorities or level of importance. There is not enough information provided in the situation to determine if Aaron's priorities were simple or complex or if they were addressed in chronological (timebased) order or in alphabetical order by category. 2018, from https://smallbusiness.chron.com/examples-methods-organization-18982.html",Communication Skills,1,hard
"Jacob is determining the writing style to use for an analytical report. If most readers are likely to support the report's content, Jacob should format the report for a(n) __________ audience.",receptive,indecisive,argumentative,intellectual,A,"Receptive. An analytical report is a document that explains and evaluates an issue, opportunity, or problem. Often, the analytical report includes recommendations for a business to take a certain course of action. If the writer anticipates that most members of the audience are receptive and will agree with the recommendations, then using a direct approach to structure the report is optimal. The direct approach involves writing the report so it focuses the attention on the conclusions and recommendations. If the writer anticipates a skeptical, argumentative, or indecisive audience, the indirect approach may be the best way to structure the report. The indirect approach involves preparing a logical argument that supports the recommendations and focuses on the rationale behind the recommendations. Intellect refers to a person's level of understanding about a topic or concept, which varies per person and is not necessarily related to the structure of the report. 2018, from http://writing.ku.edu/sites/writing.drupal.ku.edu/files/docs/Writing_Informational_Analytical_R eports.pdf",Communication Skills,1,medium
Which of the following is the last component of a research report:,Recommendations,Purpose of the study,Background information,Methodology,A,"Recommendations. A research report is a written document that summarizes an investigation related to a particular issue or problem. The recommendations section is the proposed course of action, and it is the last component presented in the report. The purpose of the study, which appears at the beginning of the report, describes why the research is needed. The background or historical information is presented at the beginning of the report and usually appears after the purpose of the study. The methodology section of the report appears in the middle of the report and discusses the types of research tools used and why they were selected. from http://www.papermasters.com/conclusions_recommendations.html Test 1185 5",Communication Skills,2,easy
Phoebe is the manager of a small company. One of her employees has been showing up late and missing work frequently. What channel of communication should Phoebe use to discuss this issue with him?,A company-wide memo,An email message,Face-to-face conversation,A video conference,C,"Face-to-face conversation. When discussing sensitive issues, face-to-face communication is the best strategy because it is the richest form of communication and has the least risk of misinterpretation. If Phoebe were to write an email, her employee may not understand her tone or meaning. A company-wide memo is inappropriate because this is an issue that should be only between Phoebe and the employee in question. Finally, video conferences are generally used when people are not in the same location and do not offer any benefits that a face-to-face conversation does not provide. Retrieved September 19, 2018, from https://bizfluent.com/about-6511827-importancecommunication-channels-business.html",Communication Skills,2,medium
"When participating in a project-status meeting, it is important for a participant to",be prepared to provide an update.,monopolize the conversation.,provide information about new company policies.,take notes for the group.,A,"Be prepared to provide an update. It is important for a meeting participant to be prepared to present the required information at a scheduled meeting. Being unprepared is unprofessional and inconsiderate of the other participants' time. Without the necessary information, the meeting may need to be rescheduled. Meeting participants should not monopolize the conversation. New company policies would be relevant only if they affect the project. Otherwise, they should be communicated outside the project-status meeting. It is not always necessary to take notes for the group. 19, 2018, from https://smallbusiness.chron.com/purpose-weekly-status-meetings-76971.html",Communication Skills,2,medium
"A customer asks Roger a question about a product, and he isn't sure of the correct answer. He immediately phones his supervisor to get the needed information. Which technique for building positive customer relations does this illustrate?",Be thankful.,Keep your promises.,Pay attention to internal customers.,Be helpful.,D,"Be helpful. Roger is displaying helpfulness to this customer. He didn't know the answer to the customer's question, but he immediately went into action to find the person who did. This situation does not illustrate keeping promises, paying attention to internal customers (employees), or being thankful.",Customer Relations,2,hard
"Today, customer relationship management is considered an important tool in",commercial investing.,business decision-making.,hiring new employees.,establishing connections with vendors.,B,"Business decision-making. In the past, customer relationship management (CRM) was used mainly as a way to track and organize information about customers so a business could identify its most valuable clients and tailor its marketing strategies to generate more revenue. Today, its uses have expanded, and it is also considered an important tool in business decision-making. CRM is not typically considered a tool for use in commercial investing, hiring new employees, or establishing connections with vendors. These are not customer-focused activities.",Customer Relations,2,hard
Which of the following is an economic service:,Eyeglasses,Bottle of perfume,Baseball bat,Ticket to football game,D,"Ticket to football game. The ticket entitles its owner to watch a football gameâ€”an intangible activity performed by others for a certain amount of money. The alternatives are examples of economic goodsphysical objects that are useful, scarce, and transferable.",Economics,2,easy
Which of the following are examples of capital goods:,"Trucks, drum scanners, and minerals","Bull dozers, photocopiers, and roads","Tractors, laborers, and cranes","Refineries, iron ore, and computers",B,"Bull dozers, photocopiers, and roads. Capital goods are manufactured or constructed items that are used to produce goods and services. Bull dozers, photocopiers, roads, trucks, drum scanners, tractors, cranes, refineries, and computers are types of capital goods. Laborers are human resources. Minerals and iron ore are natural resources. Test 1185 6",Economics,2,easy
One reason that businesses use a matrix organizational design is to,share human resources.,improve employee productivity.,segment areas of expertise.,standardize business tasks.,A,"Share human resources. The matrix organizational structure involves integrated departmental functions with product or project orientation. For example, a technology specialist, a marketing researcher, a financial advisor, and a manufacturing line supervisor are members of different departments but often work together to develop a product or improve a process. The advantage to businesses of using this organizational structure is that the business is applying its resources efficiently because a representative from each of the major departments provides a unique set of skills and knowledge to achieve the business's goals. Often, workers have two or more supervisors in the matrix organizational design. The matrix organizational design may improve the business's overall efficiency, but it does not always improve an individual's productivity. Departmental organizational design segments employees by their areas of expertise (e.g., accounting, sales, and production). Policies and procedures are developed to standardize various business activities and tasks in all types of organizational designs. organizations (9th ed.) [pp. 453-455]. Mason, OH: South-Western Cengage Learning.",Economics,2,medium
Which of the following is an example of a government regulation that affects a business's working conditions:,Zoning laws,Food inspection,Minimum wage,Price supports,C,Minimum wage. Government regulation of business includes regulating working conditions provided by businesses. One such regulation involves minimum-wage laws that specify the lowest hourly wage that businesses can pay workers. Zoning laws are intended to protect business property. The inspection of food is intended to protect consumers. Government price supports maintain the price of a good or service to enable the producers to earn a profit.,Economics,2,medium
Which of the following is an item that is subject to an excise tax:,Prescription medication,Carton of eggs,Ski boat,Business computer,C,"Ski boat. An excise tax is a special government tax on certain nonessential and luxury items (e.g., ski boat) that is included in the price that consumers pay. Eggs, medication, and business computers are not luxury items that are subject to an excise tax.",Economics,2,easy
A company is facing negative returns. Which stage of production is the company in?,Second,Third,Fourth,First,B,"Third. During the third stage of production, the company sees negative returns. The first stage of production produces increasing returns, while the second stage of production produces diminishing returns. There is no fourth stage of production.",Economics,3,easy
Which of the following is a true statement about gross domestic product (GDP):,Improved use of resources increases the GDP.,The underground economy overstates the GDP.,It is easy to measure the GDP accurately.,A decrease in GDP results in a higher standard of living.,A,"Improved use of resources increases the GDP. For example, a vacant warehouse does not produce revenue. If it is leased as office space, then the resource earns income. It is difficult to measure the GDP accurately because of several factors, including the large amounts of information that are collected and the problem of avoiding counting a good or service twice. A decrease in the GDP results in a lower standard of living. The underground economy understates the GDP because no receipts are kept in these transactions and they cannot be counted.",Economics,3,medium
Which of the following illustrates the impact of a country's history on world trade:,Countries with widely different religious beliefs have difficulty establishing trust.,Countries that have engaged in war conflicts have difficulty establishing trust.,Countries speaking different languages have difficulty understanding each other.,Countries that are adjacent to each other have more opportunities for conflict.,B,"Countries that have engaged in war conflicts have difficulty establishing trust. When countries have a history of war, it can be difficult for them to establish trust with other countries to make trade possible. Countries speaking different languages represents a cultural difference. Countries that are adjacent to each other may have more opportunities for conflict or friendship, but the situation does not relate to the impact of the countries' history on world trade. http://insight.kellogg.northwestern.edu/article/cultures_of_trust Test 1185 7",Economics,3,easy
One good way to raise your level of self-esteem when it has dropped is to,discuss your feelings with someone you trust.,withdraw from activities for a while.,reanalyze all your past mistakes.,keep your feelings to yourself.,A,"Discuss your feelings with someone you trust. Often, this is all that is necessary to restore your selfesteem. It is never helpful to your self-esteem to bottle up your feelings, withdraw from life, or go over past mistakes repeatedly. https://www.mind.org.uk/information-support/types-of-mental-health-problems/selfesteem/#.W6JMQGhKiM8",Emotional Intelligence,3,easy
Workers can demonstrate their honesty and integrity by giving a fair amount of ___________ for their pay.,worry,concern,effort,loyalty,C,Effort. Honest employees work during all of the hours for which they are paid. They do their fair share of work no matter what their feelings of loyalty to the employer might be. Worry and concern are not indicative of honesty and integrity.,Emotional Intelligence,3,medium
"For two hours a day, Jacob shuts his office door to prevent interruptions, does not check email, and does not accept incoming phone calls. This enables Jacob to focus on his most important tasks. What technique is Jacob using to help him manage his work commitments effectively?",Eliminating the use of technological tools,Delegating his workload,Controlling environmental distractions,Developing a detailed â€œto-doâ€ list,C,"Controlling environmental distractions. By taking steps to minimize distractions, Jacob can focus his full attention on the most important work that he needs to accomplish. This helps him be more productive and manage all of his work commitments effectively. Although a â€œto-doâ€ list may help Jacob prioritize his work, he is not developing the list in the situation provided, nor is he delegating work to others. Jacob is not accepting telephone calls or checking email, but he may be using his computer to do other tasks such as writing a report, or he may be making outgoing calls.",Emotional Intelligence,3,medium
How does having a sense of humor help you maintain a positive attitude?,It encourages you to give your appearance the attention it deserves.,"If you hang out with positive people, you'll be positive as well.",It is easier to maintain a positive attitude when you're healthy.,It keeps you from taking yourself too seriously.,D,"It keeps you from taking yourself too seriously. Having a sense of humor helps you maintain a positive attitude because it keeps you from taking yourself too seriously. Being able to laugh at yourself and at annoying things that happen is very good for your positive attitude. It helps you keep things in perspective. Having a sense of humor does not have anything to do with hanging out with positive people, staying healthy, or giving your appearance the attention it deserves.",Emotional Intelligence,3,easy
"When people make you angry or upset, you may be able to maintain your self-control if you",frown to indicate your displeasure.,use language to vent your anger.,adopt a defensive attitude.,make an effort to remain calm.,D,"Make an effort to remain calm. In some cases, acting calm will actually help you be calmer. Using language to vent your anger indicates you have lost your self-control. Frowning and being defensive are negative responses that will not help you maintain your self-control.",Emotional Intelligence,3,easy
Which of the following is an internal source of feedback:,Teachers,Yourself,Friends,Employers,B,"Yourself. Feedback is evaluative information about you, your behavior, or the results of your behavior. Internal feedback is feedback that comes from within yourself, and it may be negative or positive. Friends, teachers, and employers are external sources of feedback. Test 1185 8",Emotional Intelligence,3,easy
Which of the following is an example of violating a coworker's privacy in the workplace:,Thomas changed the wording on Carrie's report with her approval.,"Ruby saw that her coworkers were having a serious discussion, so she walked away.","Joe needed a pen, so he opened Ali's desk drawer to look for one while she was away.",Paige sent a personal email from her work computer to her friend Alan.,C,"Joe needed a pen, so he opened Ali's desk drawer to look for one while she was away. Employees should not go through their coworkers' desks, files, correspondence, or personal belongings in the workplace. To do so is a violation of privacy. When employees respect the privacy of others in the workplace, they are more likely to gain the trust and respect of their coworkers and managers. Walking away from a serious discussion and changing a document with the writer's approval are not violations of privacy. Sending a personal email from work is not an invasion of privacy, but it is wasting company resources because it is not business-related. 19, 2018, from https://careertrend.com/respecting-coworkers-personal-space-9496.html",Emotional Intelligence,3,easy
Which of the following is a true statement about secondary dimensions of diversity:,They are mental aptitudes.,They are physical traits.,They are determined by a person's subculture.,They can change over time.,D,"They can change over time. Secondary dimensions of diversity are differences that may change at various points throughout one's lifetime and include characteristics such as language, religion, income, geographic location, family status, work experience, communication style, and education level. Physical traits and mental aptitudes are primary dimensions of diversity, which are inborn differences that cannot be changed. These differences include gender, age, race/ethnicity, etc. Subculture is a secondary group within a dominant culture. For example, suppose that a U.S. citizen has parents of Chinese decent; the Western culture is most likely the person's dominant culture, while his/her Chinese heritage represents a subculture. A person's subculture may influence some of a person's secondary dimensions of diversity, but it does not determine these dimensions.",Emotional Intelligence,4,medium
"During a staff meeting, Matthew says, ""In closing, I want to congratulate Shelby, who has been instrumental in landing the Feldman account. This account has the potential to greatly impact our company's sales."" Matthew is motivating an employee by",providing her with a monetary reward.,acknowledging her efforts.,giving her new job responsibilities.,supporting her ideas.,B,"Acknowledging her efforts. One way to motivate team members is to acknowledge their work accomplishments either individually or in a group setting (e.g., meeting). When employees feel that management appreciates their contributions to the company, they are often motivated to keep up the good work. In this situation, Matthew is not providing Shelby with a monetary reward, giving Shelby new job responsibilities, or supporting Shelby's ideas. September 19, 2018, from http://www.huffingtonpost.com/anush-kostanyan/15-effectiveways-to-moti_b_5854242.html",Emotional Intelligence,4,medium
Frank has a good understanding of his own emotions. What component of emotional intelligence does Frank demonstrate?,Social management,Self-management,Social awareness,Self-awareness,D,"Self-awareness. Frank is demonstrating self-awareness. Self-awareness is a person's knowledge of his/her own emotions. Each of us perceives the world through a unique set of values and beliefs. If you know what is important to you, your awareness will give you the confidence you need to respond appropriately. Self-management is the ability to direct and control one's emotions in a way that is purposeful. Social awareness is the ability to know and understand others' emotions. Social management is the ability to respond effectively to others' emotions.",Emotional Intelligence,4,medium
Collaborative relationships with colleagues from other departments are beneficial to the business because they often,support highly competitive attitudes.,prevent workplace conflict.,generate innovative ideas.,facilitate independent behavior.,C,"Generate innovative ideas. Collaboration involves working together in a cooperative manner. Colleagues from different departments often collaborate with one another to accomplish business goals. An advantage of collaboration is that colleagues from different departments have different perspectives, which can help generate innovative ideas for developing new products, improving processes, increasing productivity, and solving problems. Collaboration may reduce conflict, but it does not prevent it from ever happening. Although a little friendly competition among colleagues might positively affect some business activities, highly competitive attitudes tend to reduce trust and create a negative work environment. The goal of collaboration is interdependence (relying on one another) rather than acting independently (without others' input). Mason, OH: South-Western Cengage Learning. Test 1185 9",Emotional Intelligence,4,hard
"John recently expanded his business into another country to reach more of his target market. He was initially thrilled with his company's profits following the expansionâ€”until he converted the money back to his domestic currency. At that point, he realized that the company made much less than he originally thought. What risk involved with international business did John experience?",International trade agreement changes,Foreign exchange rate fluctuations,Political unrest in foreign countries,The cost of international unionized labor,B,"Foreign exchange rate fluctuations. Foreign exchange rate risk occurs when the value of an investment fluctuates due to changes in a currency's exchange rate. When a domestic currency appreciates against a foreign currency, profits earned in the foreign country will decrease after being exchanged back to the domestic currency. John's profits were greater in the foreign currency than in domestic currency because of fluctuations in the exchange rate between the two currencies. International trade agreements, political unrest, and the cost of international unionized labor are all factors that business owners should consider before engaging in international business, but John did not experience them in this situation. September 19, 2018, from http://www.investopedia.com/ask/answers/06/internationalfinancerisks.asp",Entrepreneurship,4,medium
Which of the following is a disadvantage of a checking account:,Overdraft protection,Direct payroll deposit,Account balance requirement,Online transaction options,C,"Account balance requirement. Financial institutions often require customers to maintain a certain amount of money in their bank accounts. The account holder may be charged fees if the minimal account balance requirements are not met. Direct payroll deposit, overdraft protection, and online transaction options are benefits or services that many types of checking-account products offer that customers may need to pay fees to obtain. Retrieved September 14, 2018, from https://finance.zacks.com/advantages-disadvantagessavings-checking-accounts-3843.html",Financial Analysis,4,easy
"Justine's rich uncle wants to give her $5,000 toward the purchase of a car. But since Justine doesn't plan to buy the car for at least another year, her uncle told her that she can have the money now, or he can wait and give her the money when she actually buys the car. Justine chooses to take the money now and deposit it in her savings account. After all, her deposit will yield 6% interest compounded annually. A year from now, her $5,000 will be worth $5,300. What financial concept does this scenario illustrate?",Time-value of money,Dividend reinvestment plan,Capital budgeting,Accrual accounting,A,"Time-value of money. Due to the time-value of money, any certain amount of money (such as Justine's $5,000) is worth more now than later as a result of its earning potential. Rather than letting her uncle keep the $5,000 until next year, Justine is wise to take the money now and put it in a deposit-bearing savings account. That way, Justine can earn more money ($300, to be precise) on the money from her uncle. A dividend reinvestment plan (also known as a DRIP) is a method used by many investors to grow their investments more quickly. It involves using stock dividends to purchase more shares of that stock. Capital budgeting is the process that a firm's financial managers use to determine which projects to invest in. The accrual accounting method involves recording transactions at the time they occur even if no money changes hands at the time. 19, 2018, from http://www.investopedia.com/articles/03/082703.asp#axzz2BZGrTRpM",Financial Analysis,4,medium
Incorrect information on an individual's credit report may hinder his/her ability to,earn interest on stock holdings.,withdraw money from a savings account.,pay monthly credit card balances.,obtain a bank loan.,D,"Obtain a bank loan. Banks obtain credit reports to make decisions about providing loans; therefore, it is important for individuals to periodically review the accuracy of their credit reports. By obtaining copies of their credit reports from an authorized credit agency, individuals can identify problems and take corrective action. Information presented in a credit report does not affect an individual's ability to withdraw money from a savings account, pay monthly credit card balances, or earn interest on stock holdings. 19, 2018, from https://www.thebalance.com/what-is-a-credit-report-and-why-is-it-important960448",Financial Analysis,4,medium
How do businesses transfer risk?,Screen employees,Implement security measures,Check for hazards,Obtain insurance,D,"Obtain insurance. Risk is the possibility of loss. There are many ways to reduce the possibility of loss. One way to reduce the possibility of loss is by transferring the risk, which is done by obtaining insurance. Insurance is a contractual agreement in which one company (insurer) will pay for specified losses incurred by the other company (insured) in return for installment payments (premium). Implementing security measures, checking for hazards, and screening employees are ways to control and prevent certain types of risks. Columbus, OH: Glencoe/McGraw-Hill. Test 1185 0",Financial Analysis,4,easy
Emma is reviewing the sales budget in relation to the actual sales generated for a set time frame. How is Emma using financial information in this situation?,To compare estimated performance with actual performance,To establish new quality standards and benchmarks,To identify external economic trends,To analyze the impact of aging accounts,A,"To compare estimated performance with actual performance. Businesses rely on accurate financial information to make sound business decisions. In the situation provided, Emma is comparing one financial report (budget) with another financial report (actual sales) to determine if the business performed as expectedâ€”if it achieved its sales goals. Although external economic conditions can affect sales, Emma is analyzing internal financial information rather than identifying external economic trends. Emma is not establishing new quality standards and benchmarks or analyzing the impact of aging accounts.",Financial Analysis,4,easy
"When preparing her company's budget, Tatiana's manager told her that the company would be merging with another company. To maintain her ethics, Tatiana should",report this information to the SEC.,make sure the merger benefits the public interest.,maintain her independence.,keep this information confidential.,D,"Keep this information confidential. Confidentiality is the practice of keeping information secret or private. Accountants have a legal responsibility to protect their clients' information. Tatiana should therefore keep information about her company's upcoming merger confidential. Tatiana does not necessarily have any control over whether or not the merger benefits the public interest. There is no indication that Tatiana has a conflict of interest that would require her to maintain her independence. Also, there is no indication that Tatiana should report the information about the merger to the SEC.",Financial Analysis,5,easy
Which of the following are listed as long-term assets on a balance sheet:,"Capital equipment, mortgage, and inventory","Land, cash, and mortgage","Vehicles, insurance, and accounts payable","Buildings, vehicles, and capital equipment",D,"Buildings, vehicles, and capital equipment. A balance sheet is a financial statement that captures the financial condition of the business at that particular moment. The balance sheet shows a business's assets, liabilities, and owner's equity. Long-term assets are items of valueâ€”buildings, vehicles, and capital equipmentâ€”that businesses use to generate revenue for more than a year. Inventory and cash are listed as current or short-term assets, which involve levels that tend to fluctuate. The mortgage is a long-term liability, and accounts payable (e.g., insurance premiums) are current liabilities.",Financial Analysis,5,easy
"According to a company's most recent statement of cash flows, its cash flow from operations for the most recent year was $1,375,400. The net cash used by investing was an outlay of $690,000. The net cash spent on financing was $140,300. What was the company's free cash flow?","$686,400","$549,700","$545,100","$830,300",C,"$545,100. A company's free cash flow represents the funds available for internal growth and expansion. It also indicates how well the company is managing its money. A positive free cash flow is usually a sign that the company is practicing responsible money management, which can result in increased shareholder yield. A negative free cash flow, however, indicates that the company needs to look for more and/or other sources of funding. To calculate the free cash flow, we first need to determine the company's capital expenditures by adding together the net cash used by investing and the net cash used by financing ($690,000 + $140,300 = $830,300). Finally, subtract the total capital expenditures from the cash flow from operations ($1,375,400 - $830,300 = $545,100). So, the company brought in $545,100 more than it spent. 2018, from https://bizfluent.com/how-2364074-calculate-free-cash-flow.html",Financial Analysis,5,medium
Which of the following business trends affects human resources management:,Lack of new technology,Costs of business going down,No restructuring,Globalization,D,"Globalization. A growing trend toward globalization is one of many business trends that affects HR management activities. Costs of business are going up. Companies are often restructuring to save money. And, new technologies seem to pop up overnight. Test 1185 1",Human Resources Management,5,easy
Which of the following is an example of receiving tacit knowledge:,"""Shadowing"" a person in your desired career",Reading a history textbook,Listening to an instructor's lecture,Following a recipe,A,"""Shadowing"" a person in your desired career. ""Shadowing"" or following a person in your desired career as s/he moves through a work day (or week or month) is an example of receiving tacit knowledge. Tacit knowledge is hard to explain in words or through writingâ€”being ""on the job"" with an expert is a great way to receive his/her knowledge by experiencing it firsthand. Reading a history textbook, listening to an instructor's lecture, and following a recipe are all examples of receiving explicit knowledgeâ€”knowledge that is easy to transfer through words.",Knowledge Management,5,easy
Bailey knows that she has more knowledge about digital marketing than anyone else on her team. She is reluctant to share her knowledge because she wants to give herself an advantage. This is an example of how,sharing knowledge builds stronger relationships.,it is impossible to get ahead in your career if you share knowledge.,knowledge management prevents unethical behavior.,self-interest can prevent effective knowledge management.,D,"Self-interest can prevent effective knowledge management. While the benefits of sharing knowledge are undeniable, sometimes it can be tempting to keep your personal knowledge to yourself. Bailey is tempted to keep her digital marketing knowledge to herself because she doesn't want to lose her competitive edge. Therefore, she is not effectively sharing her knowledge with others. This is not an example of how it is impossible to get ahead in your career if you share knowledge. It is also not an example of how knowledge management prevents unethical behavior. Finally, this example does not demonstrate how sharing knowledge builds stronger relationships.",Knowledge Management,5,easy
"Corsica Steel Mill has developed a new process to reduce the time it takes to complete a phase of production. To legally protect this new process from unauthorized use, the company should obtain a",trade name.,copyright.,trademark.,patent.,D,"Patent. Intellectual property is intangible business assets that result from thinking processes. Businesses can obtain legal protection of their intellectual property from the government. A patent is legal protection for a product or process, such as a production process. The patent is granted to the inventor or owner for a specific number of years and is a legal means of preventing the product from being recreated and distributed by unauthorized entities. Copyrights legally protect written documents and artistic compositions. A trademark is legal protection for a symbol, design, or word (name) that a business uses to identify its brand. September 19, 2018, from http://www.wipo.int/about-ip/en/",Knowledge Management,5,medium
"Seth recently informed his manager, Tammy, that he is leaving the company. During her last meeting with Seth, Tammy took detailed notes and asked Seth questions about the problems that Seth had encountered on the job and how he handled them. Seth shared important information that his replacement will need to know so s/he can do the job efficiently. What technique is Tammy using to capture knowledge for future use in the organization?",Concept mapping,Exit interview,Data codification,Training session,B,"Exit interview. The purpose of an exit interview is to gain feedback from an employee who is leaving the business. The feedback can provide managers with knowledge about how they can help replacements become acclimated to the job. The feedback can also provide management with ideas for improving processes and increasing efficiency and job satisfaction. Concept mapping is a method of clarifying and organizing ideas by using a graphic format to show relationships. Codification is the process of classifying or assigning value to certain ideas, statements, or data. Tammy may have used concept mapping or data codification techniques to organize Seth's feedback after the exit interview. Training involves providing new hires and employees with education to perform their jobs. from http://www.kstoolkit.org/Exit+Interviews",Knowledge Management,5,hard
Which of the following factors has the greatest effect on a consumer's buying behavior:,Cultural influences,Situational influences,Individual influences,Social influences,A,"Cultural influences. Cultural influences have the strongest effect on a consumer's buying behavior, even stronger than social influences, individual influences, and situational influences. Test 1185 2",Marketing,5,easy
