Question,A,B,C,D,Correct,Explanation,HosPricingtality,Assessment,Difficulty
Which of the following is an action you could take to show respect:,Start arguments with people,Avoid eye contact,Listen to other people's opinions,Interrupt others when they speak,C,"Listen to other people's opinions. Respectful people listen to other people's opinions. They do not argue with people, interrupt them when they speak, or avoid eye contact.",Emotional Intelligence,4,easy
At what stage of the entrepreneurial process does an entrepreneur determine the amount of capital needed to launch the business?,Harvesting,Discovery,Actualization,Development,D,"Development. An entrepreneur determines the amount of capital needed to launch a business during the development stage of the entrepreneurial process. The discovery stage involves exploring potential business opportunities for feasibility and profitability. Actualization, the actual launching and running of the business, cannot occur until capital has been obtained. Harvesting is the final step when the entrepreneur determines how to exit the business. https://businessjargons.com/entrepreneurial-process.html",Entrepreneurship,4,medium
Marshall's employer pays him for the work that he performs while on the job. This is an example of,capital gains.,passive revenue.,earned income.,transfer payments.,C,"Earned income. Income is money that individuals and businesses receive from other sources. Marshall worked to receive wages from his employer, so he has earned income. Unearned income is revenue that individuals and businesses passively obtain. In these situations, individuals or businesses do not actually perform work to obtain the money. Dividends, rent, and transfer payments are examples of unearned income. Transfer payments are monies paid by the government for which no goods or services are received in exchange, such as welfare benefits, veterans' benefits, disaster aid, and unemployment. A capital gain refers to the amount of increase in value of an asset in relation to its price at the time of purchase. payments, etc.) from http://plantingmoneyseeds.com/earned-income-vs-unearned-income/",Financial Analysis,4,easy
"To be able to pay for unexpected car repairs and/or to replace broken home appliances, it is important to",make long-term investments.,save money for emergency situations.,eliminate entertainment expenses.,use tax returns to purchase treasury bonds.,B,"Save money for emergency situations. It is important to allocate a portion of savings to pay for unexpected expenses that occur in day-to-day life. At some point, everyone will have a car or home appliance that breaks down and needs repaired or replaced. Individuals do not use long-term investments to pay for immediate or short-term expenses. If you don't save money for emergency situations, you may need to cut back on the money you spend on entertainment (e.g., going to the movies) for a while, but you shouldn't need to eliminate entertainment expenses altogether. Investing money that you receive from your tax return will not help you cover unexpected or emergency expenses. from http://www.investopedia.com/financial-edge/0812/why-an-emergency-fund-isimportant.aspx",Financial Analysis,4,medium
Ian's employer electronically places Ian's paycheck directly into his bank checking account every pay period. In what column on Ian's bank statement will he find these transactions?,Deposits and credits,Withdrawals and debits,Deposits and debits,Withdrawals and credits,A,"Deposits and credits. A bank statement is a summary of all transactions that occur for a certain period of time, usually one month. The bank statement will indicate the day, amount, and transaction type on the statement. The account holder compares the bank statement with his/her checkbook to determine problems or discrepancies. Ian's employer is electronically putting his paycheck into his account; therefore, the amount will be recorded as a deposit (credit) since money is being added to the account on Ian's behalf. The withdrawals and debits column on the bank statement records all of Ian's withdrawals (debits). Ian's bills are located in this columnâ€”rent, car payment, groceries, etc. https://www.investopedia.com/terms/b/bank-statement.asp",Financial Analysis,4,medium
"When an individual invests in a mutual fund, s/he is",pooling his/her money with other investors.,purchasing corporate and government bonds. D. selecting his/her own investment options.,taking on a high level of investing risk.,,A,"Pooling his/her money with other investors. A mutual fund is a collection of stocks and bonds. When you buy a mutual fund, you are pooling your money with other investors, allowing you to pay for a professional manager to select investments for the group. Therefore, when an individual invests in a mutual fund, s/he is not selecting his/her own investment options, nor is s/he solely purchasing corporate and government bonds. Investing in a mutual fund is a relatively low-risk way to invest because a professional financial manager selects appropriate securities for you. https://www.investopedia.com/articles/basics/11/3-s-simple-investing.asp",Financial Analysis,4,easy
Emma is reviewing the sales budget in relation to the actual sales generated for a set time frame. How is Emma using financial information in this situation?,To identify external economic trends,To establish new quality standards and benchmarks,To compare estimated performance with actual performance,To analyze the impact of aging accounts,C,"To compare estimated performance with actual performance. Businesses rely on accurate financial information to make sound business decisions. In the situation provided, Emma is comparing one financial report (budget) with another financial report (actual sales) to determine if the business performed as expectedâ€”if it achieved its sales goals. Although external economic conditions can affect sales, Emma is analyzing internal financial information rather than identifying external economic trends. Emma is not establishing new quality standards and benchmarks or analyzing the impact of aging accounts.",Financial Analysis,5,easy
"Many computerized accounting systems make up-to-the-minute data available to financial decision makers instantaneously. In other words, these systems provide decision makers with __________ data.",trial,speed,real-time,inventory,C,"Real-time. Many computerized accounting systems make â€œreal-timeâ€ data readily available to financial decision makers. That means that the systems provide up-to-the-minute data instantly. Computerized accounting systems provide much more than just inventory data. Speed and trial data are fictitious terms. Retrieved July 23, 2020, from http://www.businessnewsdaily.com/7542-choosing-accountingsoftware.html",Financial Analysis,5,hard
What is one source of cash flowing into a business?,Cost of goods,Operating expenses,Sale of assets,Taxes,C,"Sale of assets. Cash can flow into a business from a number of different sources, including the sale of assets. Assets are anything of value that a business owns. In some cases, businesses have assets that they no longer need. Selling these assets brings in cash. Other sources of cash flowing into a business include startup money, sale of products, loans from banks or investors, and interest paid by credit customers or resulting from interest-bearing savings accounts. Operating expenses, cost of goods, and taxes are examples of sources of cash that flow out of a business.",Financial Analysis,5,easy
Carlos tries to respond personally to his customers' needs and wants by using communication to influence their purchase decisions. Carlos is engaged in,financing.,advertising.,selling.,distributing.,C,"Selling. Selling is determining customer needs and wants and responding through planned, personalized communication that influences purchase decisions and enhances future business opportunities. Carlos is, therefore, engaged in selling. Advertising is any paid form of nonpersonal presentation of ideas, goods, or services. Distribution involves moving, storing, locating, and/or transferring ownership of goods or services. Financing is a marketing function that involves understanding the financial concepts used in making business decisions.",Selling,5,medium
Why do many companies set a floor limit specifying a maximum amount a customer is allowed to charge to a credit card?,To encourage the use of credit cards,To increase the amount of sales,To protect the company against fraud,To prevent fraud from occurring,C,"To protect the company against fraud. A floor limit protects a business from excessive charges made illegally because the business is only held liable for the amount of the floor limit. Setting a floor limit does not create any buying incentive that would increase the amount of sales or encourage the use of credit cards. Setting a floor limit does not prevent fraud, but it can help reduce its impact.",Financial Analysis,5,easy
"Employees are expected to act with honesty, integrity, and a customer service mindset at all times. This is an example of an organizational",rewards system.,mission statement.,vision statement.,code of ethics.,D,"Code of ethics. A code of ethics outlines the ethical standards to which an organization expects its employees to adhere. ""Employees are expected to act with honesty, integrity, and a customer service mindset at all times"" is an example of a code of ethics. It is not an example of an organizational mission statement, a vision statement, or a rewards system.",Human Resources Management,5,easy
A company manager recognizes that an employee only delegates tasks to people of a certain race. Which of the following is likely to be the most effective manner for the manager to deal with this situation:,Fire the employee for demonstrating a biased preference,Ignore the behavior until the employee learns better,Privately address the behavior directly with the employee,Personally demonstrate unbiased behavior toward employees,C,"Privately address the behavior directly with the employee. If a manager observes biased, preferential, or racist behavior, s/he should address it directly with the employee so s/he understands the practice is not accepted or tolerated. Firing the employee is a harsh action to take because the employee may not be totally aware or conscious that s/he is demonstrating bias in the workplace. Ignoring biased behavior is not acceptable because it allows the behavior to continue and can cause the employee to believe the company tolerates or approves of the behavior. While personally demonstrating unbiased behavior can encourage others to adopt the same attitude, it doesn't ensure that they will; it's best to inform employees that biased behavior is not acceptable. religious, gender) Retrieved July 23, 2020, from http://smallbusiness.chron.com/5-strategies-dealing-diversityworkplace-18106.html",Human Resources Management,5,easy
"Yvonne and her family often eat at their favorite pizza place. They love this particular pizza place because they've built a relationship with the restaurant's employees, who are always friendly and accommodating. This is known as a(n) __________ motive.",quality,rational,experience,emotional,D,"Emotional. Emotional motives are reasons for buying that appeal to customers' feelings. In Yvonne's case, her family's emotional motivation is their relationship with the restaurant's employees. Rational motives are reasons for buying that appeal to customers' senses of logic or judgment. For example, if Yvonne's family went to a pizza place that has the lowest prices, that would be a rational motive. A combination of both emotional and rational motives is typically what it takes to convince customers to make a purchase. However, not everyone's the sameâ€”some people care more about rational motives, while others care more about emotional motives. That's why it's so important for a company to get to know its customers and figure out what they want. Experience and quality are not terms commonly used to describe motives. consumer buying behavior, gaining market share, etc.)",Marketing,5,hard
A tour operator put together a tour package for baby boomers who are interested in southwestern art. The tour group will visit a variety of locations in the southwest but will operate individually rather than as a guided tour. What factors did the tour operator use to segment the market?,Personality and life cycle,Gender and culture,Geography and gender,Age and life cycle,D,"Age and life cycle. Baby boomers were born between 1946 and 1964. Baby boomers, therefore, represent people of a particular age range that is aging. Many baby boomers are empty nesters, and they have the money and time to travel. Art appeals to males and females; therefore, gender was not used as a basis for segmentation. Although the tour group will experience different cultures, personalities, and geographies, those were not used as the basis for market segmentation. https://www.investopedia.com/terms/m/market-segment.asp",Market Planning,5,hard
"When analyzing information found online, it is especially important to",skim the information briefly rather than reading it carefully.,assume that the source of your information is credible.,evaluate the reliability and relevance of the information.,use sources associated with political parties or action groups.,C,"Evaluate the reliability and relevance of the information. There are plenty of online sources that contain credible informationâ€”but there are also many websites that you shouldn't trust when searching for unbiased fact. For example, websites such as Wikipedia can be edited by anyoneâ€”even people who don't have expert knowledge on the topic being discussed. Similarly, political parties or action groups may run websites that seem to provide unbiased truth, but in reality, their information is severely biased. Therefore, when analyzing information found online, therefore, it's important not to assume that the source of your information is credible. Rather, you should carefully select the sources that you use. Regardless of the source, it's not a good idea to skim information briefly when attempting to analyze it. Instead, you should read it carefully. 2020, from https://www.library.georgetown.edu/tutorials/research-guides/evaluating-internetcontent",Information Management,5,medium
Which of the following are characteristics of effective business information:,"Usable, accurate, and retrievable","Current, simple, and accessible","Applicable, historical, and complete","Organized, complex, and superficial",A,"Usable, accurate, and retrievable. Companies use many sources of internal and external information to make decisions about their business activities. Effective information should be usable (applicable), accurate, and retrievable (accessible). Whether the information needs to be current, historical, organized, complete, simple, or complex depends on the type of information the company needs and how the company intends to use the information. Making important business decisions based on superficial information could be costly to companies.",Information Management,6,medium
Which of the following is a negative effect that technology has on business:,Less emphasis is placed on research and development.,Some technologies can create pollution.,It's more difficult to enter new and foreign markets.,Businesses often cut employee-assistance programs.,B,"Some technologies can create pollution. Although technology provides many benefits, there are also some negatives as well. For example, technology can often be held responsible for certain environmental issues, like air pollution. This means a company usually has to address these problems for public relations purposes. Technology doesn't make it more difficult to enter new and foreign markets; actually, it makes it much easier, since the Internet allows businesses to sell their products to anyone, anywhere in the world. Rather than placing less emphasis on research and development as a result of technology, businesses often place more emphasis on research and development of new technologies. Technology doesn't typically impact employee-assistance programs.",Information Management,6,easy
What technological component manages the computer's software and hardware?,Operating system,Power supply,Navigation key,Modem,A,"Operating system. The computer's operating system consists of the components needed to run all of the computer applications and programs. The power cords connect the computer's central processing unit (CPU) to the electrical supply needed to turn on and operate the computer system. Navigation keys (e.g., arrow keys) are the function keys on the computer keyboard that enable a computer user to move around the computer screen. A modem is a device that connects the computer to the Internet. It sends and receives information via a telephone or cable line. 23, 2020, from https://edu.gcfglobal.org/en/computerbasics/understanding-operatingsystems/1/",Information Management,6,easy
Which of the following is a computer-based time-management tool that helps employees keep track of their appointments and activities:,Perpetual calendar,Electronic task organizer,Instant-messaging program,Alarm clock,B,"Electronic task organizer. Electronic task organizers and calendars help employees keep track of their appointments and tasks, which help them be more efficient, organized, and productive workers. Spreadsheet software programs record and calculate numerical data. Instant-messaging programs allow Internet users to communicate in real time. Perpetual calendars and alarm clocks may not be computerbased. Retrieved July 23, 2020, from https://www.networkworld.com/article/2357942/96495-9-TopiPhone-and-iPad-Productivity-and-Time-Management-Apps.html",Information Management,6,medium
One way in which many lodging facilities automate their product offerings is by,implementing self-service check-in options.,offering valet parking services.,requiring guests to pay for Internet service.,encouraging guests to order room service.,A,"Implementing self-service check-in options. Many lodging facilities have implemented self-service checkin and check-out options. These options often save time for the guests because they do not need to wait in long lines for an employee's assistance. It also reduces payroll expense for the lodging facilities because they do not need to pay staff to perform these types of duties. Offering valet parking services, requiring guests to pay for access to the facility's Internet service, and encouraging guests to order room service for meals are not automated activities. 2020, from https://www.clock-software.com/hotel-kiosk.html",Information Management,6,easy
Descriptive analysis in marketing-information management refers to data organizing activities that most commonly include,"conducting univariate analysis, tabulation, and cross-tabulation.","finding statistical errors, empirical levels, and fields.","minimizing coefficients, content analysis, and data conversion.","determining averages, frequency, and percentages.",D,"Determining averages, frequency, and percentages. Descriptive analysis organizes information into its simplest form and summarizes it for decision-making purposes. The other answers are all terms used in marketing-information management, but they do not refer to activities commonly performed in descriptive analysis. https://www.investopedia.com/terms/d/descriptive-analytics.asp",Information Management,6,hard
"In data mining, association rules describe relationships among large sets of data. An example of an association rule is: â€œIf a customer at XYZ Grocery Store purchases peanut butter, s/he is 70% likely to also purchase jelly.â€ In this example, the antecedent is __________ and the consequent is __________.",buying peanut butter; buying jelly,being a customer at the store; buying jelly,buying jelly; buying peanut butter,buying jelly; being a customer at the store,A,"Buying peanut butter; buying jelly. In data mining, association rules are if/then statements that describe relationships among data such as correlations. In this example, there is a correlation between purchasing peanut butter (the antecedent) and purchasing jelly (the consequent). The â€œthenâ€ statement always follows the â€œifâ€ statement; the two cannot be reversed. In other words, this example could not be interpreted to mean: â€œCustomers that purchase jelly are 70% likely to also purchase peanut butter.â€ from https://searchbusinessanalytics.techtarget.com/definition/association-rules-in-datamining",Information Management,6,hard
Which of the following is true of internal record maintenance:,It helps you determine your profit.,It is important solely for tax purposes.,It isn't necessary for new or small companies.,All records must be kept for the life of the business.,A,"It helps you determine your profit. If you don't pay attention to or maintain records, you'll have no idea how much your business is selling or where you're losing money. It's important to maintain good records so you can determine your profit. Records help you keep track of sales, prices, and inventory, all of which help you determine how much money your business is actually making. Record maintenance isn't just important for tax purposesâ€”it's helpful with all aspects of business planning! Internal record maintenance is important for all companies, whether they're big, small, new, or old. In fact, record maintenance can help a small company identify opportunities and grow into a larger company. While it's important to keep some records indefinitely (income tax returns, for example), some records only need to be kept for a much shorter amount of time. For example, there's no need to keep every receipt forever. https://www.irs.gov/businesses/small-businesses-self-employed/why-should-i-keep-records",Information Management,6,easy
Which of the following data collection methods would best measure actual repeat business:,Collecting data on product purchases from loyalty programs,Tracking cookies from customers' web browsing activity,Collecting personal information from online registrations,Surveying customers about their recent store experiences,A,"Collecting data on product purchases from loyalty programs. Loyalty programs are designed to track the shopping behavior of consumers and can measure the transactions of actual repeat business. Tracking cookies from web browsing activity provides helpful information about a customers' web activity, but it does not offer the same detailed information provided by a loyalty program. Collecting personal information from online registrations provides information about customers, but it does not offer a way to measure repeat business. Surveying customers about recent store experiences could provide information about recent purchases, but it is not the best way to measure actual repeat business. observations, mail, telephone, Internet, discussion groups, interviews)",Information Management,6,easy
A cafÃ© wants to determine how well its loyalty program is working. Which of the following data will help it determine the mean use-rate of customers' loyalty cards:,Data that show the number of times each customer has used the card over several months,Data that show which month has the highest number of customers using the loyalty card,Data that reveal which customers use their loyalty cards the most often,Data that reveal which customers use their loyalty cards the least,A,"Data that show the number of times each customer has used the card over several months. The mean of a set of data is the average of those data. So, the most effective method for determining the mean-use rate of loyalty cards involves using data from a wide range of customers. Examining several months of individual customer data will help determine the mean or average use-rate of customers' loyalty cards. Data revealing the month of highest loyalty card use do not show the overall customer use rate. Data revealing which customers use the card most or least also do not help determine the overall customer use rate. https://www.investopedia.com/terms/d/descriptive_statistics.asp",Information Management,6,easy
What type of chart would be best to illustrate room bookings for nine individual months?,Bar chart,Pie chart,Venn diagram,Scatter chart,A,"Bar chart. A bar chart is effective for showing separate data sets that are similar, such as room bookings for different months. A pie chart is best used when there are less than five categories to plot and/or to represent parts of a whole. A Venn diagram is only effective when data sets have a common, or overlapping, element. A scatter chart is used to illustrate a relationship or correlation between two variables. Retrieved July 23, 2020, from https://www.optimizesmart.com/how-to-select-best-excelcharts-for-your-data-analysis-reporting/",Information Management,7,medium
Which of the following is a growing trend that is having a significant impact on the hospitality and tourism industry:,Flexible work schedules,Reduced population movements,Decreased diversity,Limited technology,A,"Flexible work schedules. The work schedules of employees throughout the world are becoming more flexible as businesses allow them to work from home, work compressed work weeks, and work part time. As a result, employees have more time to plan leisure and travel activities. For example, there is a trend toward weekend getaways and short trips planned on the spur of the moment. This trend impacts the hospitality and tourism industry by increasing demand for facilities that people can reach quickly. It also increases demand for services to identify and book travel options. The movement of the population is growing, diversity is increasing, and technology is expanding. https://www.thebalancecareers.com/what-is-a-flexible-work-schedule-2063677",Information Management,7,medium
The capability of many customers to bypass travel agents when booking trips is one way that the travel and tourism industry has been impacted by,information.,deregulation.,commercialization.,technology.,D,"Technology. The technology that allowed for the creation of the Internet and the World Wide Web makes it possible for customers to buy travel products directly from suppliers rather than using the services of travel agents. Anyone with a computer and access to the Internet can go online to obtain information about airline flights, cruises, hotel accommodations, etc., and buy those products online from the supplier. For example, a customer can access the home page of American Airlines, select a flight, book the flight, pay for the flight, and download a boarding pass. This eliminates the middleman, or the travel agent, and allows customers to buy directly from suppliers. Deregulation, commercialization, and information do not enable customers to bypass travel agents. https://traveltips.usatoday.com/advantages-online-reservations-63078.html",Information Management,7,easy
Which of the following situations is a conflict of interest:,A purchasing employee receives gifts from a supplier.,An employee fails to report a safety violation.,A manager monitors her/his employees' emails.,A business sells products that have nearly expired.,A,"A purchasing employee receives gifts from a supplier. When an employee receives gifts from a supplier or potential supplier, it can present a conflict of interest, or a situation in which the employee is unable to make a truly impartial decision. Conflicts of interest do not necessarily occur when an employee fails to report a safety violation, when a manager monitors her/his employees' emails, or when a business sells products that have nearly expired.",Operations,7,easy
What is the first thing an employee should do when s/he accidentally spills coffee in the tile hallway?,Tell others about the spill,Wait for the floor to dry,Wipe it up immediately,Leave it for the cleaning crew,C,"Wipe it up immediately. Spills may make the floor slippery and create a safety hazard. Others may not notice the spill, fall on the wet surface, and suffer injuries. All employees are responsible for helping maintain a safe environment. They should not wait for the floor to dry, tell others about the spill, or leave it for the cleaning crew. smallbusiness.chron.com/workplace-safety-issues-1303.html",Operations,7,easy
"Iliana handles room reservations for a hotel, and recently, she received an online reservation for a large block of rooms from a new customer. Iliana was suspicious that the purchase could be fraudulent. How can she determine whether the reservation is legitimate?",Learn about the company's credit card policy,Verify the purchaser's identity via phone,Run a background check on the purchaser,Refrain from working with third-party booking agents,B,"Verify the purchaser's identity via phone. It is a good idea to be cautious with first-time customers to ensure that they are not using fraudulent credit cards. One way to verify that the purchaser's identity aligns with their credit card is to call via phone and confirm that the person whose name is on the card made the purchase. Learning about the company's credit card policy would not necessarily help Iliana in this instance; she should have already learned about the company's policy. It is not feasible that Iliana is authorized to run a background check on the purchaser. Finally, it is not realistic to suggest that a hotel could refrain from working with third-party booking agents because they are an important revenue source. data security. Retrieved July 23, 2020, from https://www.siteminder.com/r/hotel-databreaches/",Operations,7,hard
Creating a change-management plan includes determining,a realistic budget.,deadlines for each deliverable.,with whom to share the project plan.,who is authorized to amend the project plan.,D,"Who is authorized to amend the project plan. Creating a change-management plan includes determining who is authorized to amend, or change, the project plan. Determining deadlines for each deliverable is part of project scheduling. Determining with whom to share the project plan is not a part of change management. Determining a realistic budget comes at a different point in the project-planning process.",Operations,7,medium
"Annika, the purchasing specialist for Dottie's Donut Shop, just located a new, less expensive sugar supplier. Dottie does not plan to lower donut prices. If Annika buys the shop's sugar from this cheaper supplier, what is likely to happen?",The profit margin for donuts will decrease.,Donut sales will decrease.,Donut sales will increase.,The profit margin for donuts will increase.,D,"The profit margin for donuts will increase. If Annika reduces the materials' cost of Dottie's donuts, the profit margin for the donuts will increase, not decrease. As long as Dottie does not lower the price of donuts, using less expensive sugar will not have an impact on donut sales.",Operations,7,medium
It is important for a business to evaluate the financial condition of a potential vendor during the vendorselection process to assess the,reliability of the products that the vendor carries.,risk levels of doing business with the vendor.,vendor's levels of customer service.,vendor's required lead times.,B,"Risk levels of doing business with the vendor. If a vendor is not financially stable, there is a risk that the vendor may not have the resources to meet the business's needs. And, if the vendor's financial condition is extremely poor, the vendor may go out of business. A lack of financial resources may affect the vendor's products, its levels of customer service, and its lead times. Retrieved July 23, 2020, from http://www.businessknowhow.com/manage/choosevendor.htm",Operations,7,easy
"Because a normally stocked item is backordered and a customer needs to get the item as soon as possible, Barston Distributors asks its vendor to ship the item directly to the customer when it is available. What type of purchase order does this exemplify?",Advance placement,Open,Standing,Drop shipment,D,"Drop shipment. Direct shipping involves bypassing delivery to the intermediary (Barston Distributors) and delivering the product directly to the customer. An open order is an order for staple goods that is placed with one of several available vendors who can meet the business's immediate requirements (e.g., time, price, quantity). A standing order is an order that involves sending specific products at set intervals. An advance order is a regular order that is placed now with delivery requested at a future time (e.g., weeks, months). https://www.shopify.com/blog/what-is-dropshipping",Operations,7,medium
An important aspect of a business's production efforts is,scheduling a sales promotion.,obtaining the necessary resources.,identifying financing options.,developing compensation policies.,B,"Obtaining the necessary resources. Production is the process or activity of producing goods and services. Businesses must obtain the appropriate resourcesâ€”skilled workers, raw materials, inventory, supplies, and equipmentâ€”to produce the business's goods and services. Scheduling a sales promotion is a promotional activity. Identifying financing options is a finance activity. Developing compensation policies is a human resources activity.",Operations,8,easy
Which of the following result when employees control business expenses by treating customers in a professional manner:,Customer complaints are maximized.,Employees' working hours are increased.,Market share is decreased.,Customers are retained.,D,"Customers are retained. When employees serve customers efficiently and courteously, employees help reduce customer complaints, thereby saving money. This also means the business will retain customers; it costs less to keep existing customers than to try to attract new ones. Fewer complaints result in employees having more time to sell. Market share should increase if customers are treated in a professional manner.",Operations,8,easy
Effective collaboration between supply chain partners will most likely result in,lower warehousing costs.,longer lead times.,lower employee turnover.,higher inventory levels.,A,"Lower warehousing costs. Effective supply chain collaboration will likely result in lower warehousing costs, lower inventory levels, and shorter lead times. Effective supply chain collaboration will not necessarily impact employee turnover. 23, 2020, from http://www.supplytechnologies.com/blog/the-importance-of-supply-chaincollaboration",Operations,8,easy
"To handle recyclable products appropriately, all hotel employees must know",the amount of money that the hotel saves by recycling products.,the name of the company that hauls away the recycling.,what items are recyclable and where to place them.,how the government regulates the recycling process.,C,"What items are recyclable and where to place them. Hotels must inform their employees what types of items can be recycled (e.g., glass, plastic, paper, and aluminum) and where to place them. Most often, hotels place recycling containers or bins at various locations on the property. It isn't necessary for all employees to know the name of the company that hauls the recyclingâ€”only the employees who typically come in contact with the hauling company's employees. Although employees might find it interesting to know the amount of money that the hotel saves by recycling or how the government regulates the recycling process, this information is not necessary for them to know to handle the recyclables appropriately. https://www.goodnet.org/articles/5-steps-to-recycle-effectively",Operations,8,medium
What action should hotel employees take when a fire occurs and they determine that they cannot contain it themselves?,Open windows to let the fire out of the building,Use an A-B-C fire extinguisher,Relocate gas-powered equipment to the middle of the room,Shut off air conditioners,D,"Shut off air conditioners. When fires occur, hotel employees should determine whether they can control the fire themselves. If not, they need to contact the fire department, shut off the air conditioning to keep the smoke from filtering into other parts of the property, close windows and doors to keep the fire from spreading, and shut off the fuel to gas-powered equipment. Since the employees have already determined that they cannot contain the fire themselves, they should not take time to attempt using fire extinguishers. 2020, from https://setupmyhotel.com/train-my-hotel-staff/securityandloss/722-hotel-fireemergency-plan-and-procedures.html",Operations,8,easy
A hotel can prevent unauthorized visitors from accessing the property by,instituting a lockout for specific guests.,changing traditional room locks every week. D. locking particular doors after certain hours.,providing vendors with electronic key cards.,,D,"Locking particular doors after certain hours. By locking doors after certain hours, a hotel can limit access to the facility. For example, a hotel might provide its guests and employees with an access code to get into the main lobby from outdoors at nighttime. Hotels do not provide vendors with electronic key cards. It would be very expensive to change traditional locks every week. A hotel enacts a lockout by preventing a guest from entering his/her room when the guest does not pay the bill, exhibits unsafe behavior, etc. Park, IL: The Goodheart-Willcox Co.",Operations,8,easy
Hannah is known for her bold behavior. She loves riding her dirt bike and is usually the first to volunteer for a dare. What characteristic of a creative person does Hannah display?,Sensitivity/Intuition,Flexibility,Imagination,Willingness to take risks,D,"Willingness to take risks. Hannah's bold behavior shows she is willing to take risks. This willingness is often found in creative individuals, although the risks aren't always physical ones. Flexibility is a measure of how well a person can adjust to change. Imagination is the ability to see things that may not yet be real. Sensitivity/Intuition refer to a person's ability to listen to her/his own instincts and inner reasoning.",Professional Development,8,easy
Which of the following statements is true of time management:,It refers to how people use the 24 hours in their day.,It is a matter of common sense and just involves using a calendar.,It requires a significant amount of extra work.,It makes it more difficult for you to plan for the future.,A,"It refers to how people use the 24 hours in their day. Time itself is not under our control, but our actions are. And, if we learn to act in a way that makes the most of our time, then we are using the resource wisely. Learning time-management skills does not require a lot of extra work. Spending just a few minutes a day on time management can save you many hours on the job. Learning time-management skills is not just a matter of common sense. It takes more than just writing down appointments and project deadlines in your calendar. Time management can help you plan for the future and take major steps toward achieving your goals and becoming the person you want to be.",Professional Development,8,medium
Which of the following statements is true about completing job applications:,Use a pencil to fill out the application in case you make a mistake.,Write clearly using a black or blue pen to present a professional appearance.,Leave blank spaces for information that you do not have readily available.,A rÃ©sumÃ© is not necessary if you are completing a job application.,B,"Write clearly using a black or blue pen to present a professional appearance. The way in which an applicant fills out a job application can affect the applicant's chances of getting an interview. A job application that contains sloppy handwriting, misspelled words, and incomplete information presents an unprofessional impression. It indicates to the business that the applicant completes tasks haphazardly, which is not a favorable trait for employees to have. To present a professional appearance, the applicant should complete every section of the application and write clearly using a blue or black pen. Some employers may feel that using a pencil to complete an application is unprofessional and difficult to read. Although it depends on the position, many employers require that applicants provide rÃ©sumÃ©s when they complete job applications. Retrieved July 24, 2020, from https://www.livecareer.com/resources/jobs/search/jobapplications",Professional Development,8,medium
Which of the following would be appropriate to include on a rÃ©sumÃ©:,Your desired salary,Religious beliefs,Social Security number,Volunteer experience,D,"Volunteer experience. Including your volunteer experience on a rÃ©sumÃ© can be an effective way to showcase your skills and work ethic, especially if you have not held many professional jobs before. Volunteering also shows that you are an engaged member of your community, which will impress potential employers. You should not include your religious beliefs, your Social Security number, or your desired salary on a rÃ©sumÃ©; they are private matters that are irrelevant to your job application. July 24, 2020, from https://www.indeed.com/career-advice/resumes-cover-letters/what-toinclude-on-a-resume",Professional Development,8,easy
It's extremely important for lodging employees to be organized because they,have to keep track of lots of information (such as reservations).,are in charge of making sure people have fun at parks and attractions.,have to travel extensively for their jobs.,make travel arrangements for their customers.,A,"Have to keep track of lots of information (such as reservations). It's important for lodging employees to be organizedâ€”they have to keep track of a lot of information, and there can be negative consequences if they forget something or make a mistake. Recreation, amusements, and attractions employees are in charge of making sure people have fun at parks and attractions. Travel and tourism employees often have to travel extensively and make customers' travel arrangements.",Professional Development,9,easy
It is important for employees to understand their employers' rules of conduct so they can,receive special recognition for their work.,continuously improve their performance.,operate company equipment for personal use.,meet their employers' expectations.,D,"Meet their employers' expectations. To provide a fair and consistent work environment, businesses develop rules of conduct. The rules of conduct outline a business's policies, procedures, and expectations regarding employees' behavior in the workplace. When they are hired, employees typically receive an employee handbook that includes the rules of conduct. To ensure that new employees understand their employers' expectations, businesses often review the rules of conduct during orientation sessions. Rules about using company equipment (e.g., photocopier) for personal use vary. Employers may address this topic in the rules-of-conduct section of their employee handbooks. Employees receive feedback about their work during performance reviews. Understanding the rules of conduct does not ensure that employees will receive special recognition for their work.",Professional Development,9,easy
Which of the following early 20th century events had the most positive impact on the growth of mass tourism:,The introduction of paid personal leave time for employees,A shift in focus from industrialism to agricultural pursuits,The development of an American passenger train system,Widespread access to computers and the Internet,A,"The introduction of paid personal leave time for employees. In 1913, the Westinghouse Corporation instituted paid vacation days for its employees. Many other companies quickly followed suit. Suddenly, most workers had free time on their handsâ€”free time that they could spend traveling. Rather than shifting from industry to agriculture in the early 20th century, individuals shifted their focus from agriculture to industry. This shift from farming to commercialism boosted tourism. The development of an American passenger train system did have a positive impact on tourism, but it occurred in the 19th century, not the 20th. While widespread access to computers and the Internet has had a positive effect on mass tourism, these technological breakthroughs did not occur until the late 20th and early 21st centuries. https://www.bbc.co.uk/bitesize/guides/zkgxsbk/revision/3",Professional Development,9,easy
