Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Libraries most often help job seekers learn about potential careers by providing,personal contacts with professionals in different occupations.,on-the-job training and career prep at local businesses.,occupational handbooks and other online career resources.,guidance counselors for job seekers in various fields.,C,"Occupational handbooks and other online career resources. Libraries offer a wealth of information regarding career opportunities. Job seekers can visit a local library to access the internet, where job boards, career preparation websites, and other online resources can be utilized. Libraries often have access to specialized databases for research that may also aid in the job search. Finally, libraries generally have a variety of printed materials (books, trade magazines, etc.) that can help job seekers learn more about career opportunities. Personal contacts, guidance counselors, and on-the-job training and career preparation are also valuable tools for job seekers, but they are not usually provided by general libraries. 2022, from https://jobs.stateuniversity.com/pages/56/Getting-Job-SOURCES-CAREERINFORMATION.html",,8,easy
"When using exploratory interviews to identify occupational interests, you should try to interview someone who",has an executive position in the company.,holds the kind of job you want.,used to have the kind of job you want.,hires people for the kind of job you want.,B,"Holds the kind of job you want. Interviewing someone who currently holds the kind of job you want will yield information on career paths, preparation, advantages, and disadvantages of the career. Interviewing people who hire, used to be in that position, or are executives of the company may provide an incomplete picture of the career you are interested in. PERSONAL FINANCIAL LITERACY EXAMâ€”KEY 20",,9,medium
Which of the following is a question that you can ask yourself to help you determine an occupation that you might like to pursue:,What computer programs do I work with?,What types of sports do I like?,What grade did I get on my last science exam?,What are my favorite classes in school? PERSONAL FINANCIAL LITERACY EXAM 13,D,"What are my favorite classes in school? When determining what occupation you might want to pursue, you need to assess your interests and skills. Your favorite classes in school can help you determine the subjects that interest you. For example, if you like to do math and you do well in your accounting class, you might consider a career in accounting or finance. Or, if you enjoy writing and do well in your composition class, you might consider a career as a journalist, editor, or copywriter. The types of sports that you like, the computer programs that you currently work with, and the grade that you received on your last science exam are not questions that will help you determine your occupational interest. Retrieved August 24, 2022, from https://www.thebalancecareers.com/self-assessment-tools-choosea-career-526172",,9,easy
Jen excels in math and enjoys solving problems. Which of the following activities would help her learn the most about a high-level career in finance:,Get a job as a grocery store cashier,Apply for college scholarships,Take a career assessment test,Job shadow at a financial institution,D,"Job shadow at a financial institution. Job shadowing at a financial institution would give Jen the opportunity to learn about the job requirements and skills needed for a job in finance. She would also have the opportunity to ask a professional questions. A career assessment test is helpful when trying to identify interests but does not provide much information about a specific career. A job as a store cashier would not expose her to high-level finance career options. Applying for college scholarships would not provide any information about finance careers. August 24, 2022, from https://www.sdstate.edu/ness-school-management-andeconomicsblog/importance-job-shadowing",,9,easy
An individual who is interested in a specific profession might consider obtaining job-related experience by,performing volunteer work.,taking a class.,conducting online research.,selecting a mentor.,A,"Performing volunteer work. Volunteer work refers to activities or tasks that a person performs without pay. For example, a person who wants to find out about public relations might consider volunteering at a PR firm. Although responsibilities might be menial in nature, the experience provides the volunteer with insight as to how a PR firm operates and what is expected of its personnel. Taking a class, selecting a mentor, and conducting online research provide important education and information, but they do not necessarily provide workplace experience. https://www.monster.com/career-advice/article/five-ways-volunteering-can-help-you-get-a-job-hotjobs",,9,hard
Participating in school-operated programs such as the school store or library is one way that students might obtain,work experience.,college information.,job approval.,additional education.,A,"Work experience. There are several ways to obtain work experience without having a paying job. One way is to participate in school-operated programs, such as the school store or library. Students who help in the school store learn how to operate cash registers, complete sales transactions, and serve customers. Students who work in the library also learn about customer service. This experience is similar to work experience and can be listed on an individual's resume. Helping out in the school store or library is a way of obtaining a type of training rather than additional education or college information. Students might receive approval for the work they do, but that is not the purpose of participating. from https://www.weareteachers.com/start-a-school-store/ PERSONAL FINANCIAL LITERACY EXAMâ€”KEY 21",,9,easy
"To delay payment when buying business supplies from a website, a purchaser is most likely to pay for the goods with a(n) __________ card.",credit,debit,ATM,store-value,A,"Credit. Credit is the arrangement in which businesses and individuals can purchase now and pay later. One option businesses have to obtain credit is to secure credit cards from lending institutions. Businesses can obtain the goods and services they need right away, such as airline tickets and supplies, and then pay for the items when they receive their statement from their lending institutions. Businesses often purchase the things they need to operate effectively online. In fact, many web-based businesses will only accept credit cards as a form of payment. Debit cards, ATM cards, and store-value (gift) cards do not delay payment. https://handsonbanking.org/resources/credit-cards",,9,easy
What should employees in today's changing world do to prevent their skills from becoming obsolete?,Continue their education,Change jobs frequently,Modify personal behavior,Delegate responsibility,A,"Continue their education. Employees need to continue learning and improving their skills to keep up with changes in technology. For example, many businesses are replacing existing equipment with advanced models that are more complex or perform more operations. Employees need to be willing to learn the skills necessary to operate advanced equipment because their former skills are obsolete. Employees should not change jobs frequently. Modifying personal behavior will not necessarily prevent employees' skills from becoming obsolete unless they also continue their education. Many employees are responsible for performing specific tasks and are not able to delegate that responsibility to others. from https://www.linkedin.com/pulse/benefits-continuing-education-everyone-ian-cohen/",,9,easy
Seminars and workshops that are sponsored by trade associations are ways to obtain job training for people who,work in a specific industry.,need to improve their management skills.,are getting ready to retire.,want to obtain a graduate degree.,A,"Work in a specific industry. Trade associations often provide continuing educational options for workers who want or need to expand their skills and knowledge in a specific industry, such as plumbing or building. As technology evolves, workers often need to attend classes, seminars, and workshops to keep up with the changes in their industry. Some trade associations offer management training classes, but not all workers need or want these types of skills. Workers who want to obtain a graduate degree need to attend a college or university that offers graduate-level programs. People who are near retirement are unlikely to attend continuing education classes or professional development seminars and workshops. 632]. Tinley Park, IL: Goodheart-Willcox.",,9,easy
Which of the following is an example of an individual's occupation:,Changing jobs within the company,Being a career salesperson,Getting a part-time job,Exploring new employment options PERSONAL FINANCIAL LITERACY EXAM 14,B,"Being a career salesperson. An occupation is defined as the principal business of one's life. Occupations are usually paid work that consists of similar activities that are performed by the people during their careers. For example, people working as salespeople often use the same skills and perform similar tasks in each job they hold throughout their sales careers. People who obtain part-time jobs generally work fewer hours than full-time employees. Often, these types of positions are short term and are not always related to one's career goals. For example, a college student who is studying to become a teacher might work part-time in a quick-service restaurant to help cover school expenses. People who change jobs within a company do not always move to similar or occupation-oriented positions. When people explore new employment options, they are generally looking for new jobs, but the jobs are not always occupational in nature. August 30, 2022, from https://careertrend.com/info-8226168-difference-between-job-occupationcareer.html PERSONAL FINANCIAL LITERACY EXAMâ€”KEY 22",,9,medium
One reason why many workers begin their careers in entry-level jobs is because these jobs,provide no room for advancement.,offer very low compensation.,require little or no experience.,are limited to small businesses.,C,"Require little or no experience. Entry-level jobs are the beginning point in most occupations because they require little or no experience. Many people entering the workplace for the first time do not have a lot of work experience, if any. Therefore, they often begin their careers in entry-level jobs to gain the experience they need to be able to advance and move up the career ladder. Not all entry-level jobs offer very low compensation. Many entry-level jobs are the stepping stones to advancement once workers have more experience. Entry-level jobs are available in all types of businesses, regardless of size. 2022, from https://www.thebalancecareers.com/what-is-an-entry-level-job-1918126",,9,easy
"Edward is a college student earning his business degree. In the evenings and on weekends, he bags groceries at a local store to earn money for school. â€œGrocery baggerâ€ is Edward's",goal.,long-term plan.,job.,career.,C,"Job. A job is a temporary step that is part of building a career. A career is a long-term journey that typically requires planning and growing. Edward is majoring in business, so his career will likely be in the business field. In the short term, however, he is working at a grocery store to make money; this is a job. Because Edward is studying business, we can assume that bagging groceries is not his goal or his long-term plan. August 30, 2022, from https://careertrend.com/info-8226168-difference-between-job-occupationcareer.html",,10,easy
How do workers often identify the skills that are needed to further their careers?,Change jobs on a frequent basis,Monitor trends in their occupations,Change their mental attitudes,Measure their level of self-esteem,B,"Monitor trends in their occupations. A trend is defined as the general direction in which people or events are moving. Many people who monitor the trends in their occupation or profession can determine what skills they need to enhance or develop and take steps to educate themselves and become more marketable in their fields. For example, a graphic artist takes desktop publishing classes when software upgrades are released. By keeping up with the changes in the profession, the graphic artist learns skills that make their job easier as well as possesses skills that many employers or clients desire. Self-esteem, attitudes, and job acquisition might affect workers' ability to acquire skills but do not necessarily further their careers. 2022, from https://articles.bplans.com/25-creative-ways-ways-to-further-your-career/",,10,easy
A business is much more likely to fail if its owner starts it simply to,provide personal satisfaction.,make a difference in others' lives.,make money.,become independent.,C,"Make money. Many people start businesses to supplement their existing income or gain financial independence. However, a business is much more likely to fail if its owner starts it simply to make money. Money should never be your top priority in starting a new business. If it is, you are much more likely to make hasty, unwise decisions that may help make money in the short run but will ultimately destroy your chance for success. Obtaining personal satisfaction, making a difference in the lives of others, and becoming more independent are all reasons that entrepreneurs start businesses. PERSONAL FINANCIAL LITERACY EXAMâ€”KEY 23",,10,easy
"Leena wants to start investing, but she does not know much about the stock market, nor does she have time to closely follow her portfolio. Leena should invest in",insurance.,growth stocks.,a savings account.,mutual funds.,D,Mutual funds. Mutual funds are pools of money from individual investors that are directed by a fund manager. One of the benefits of investing in a mutual fund is that they are managed by a professional who has the time and expertise to focus on selecting the right investments. Mutual funds are appropriate for Leena because she does not have the time or knowledge to choose her own investments. Saving is different than investing. Insurance would not help Leena in this situation. Growth stocks are risky and require more attention than Leena can give to be successful. https://www.thebalance.com/mutual-funds-101-356319,,10,easy
Which of the following is a true statement about stockholders:,They have liability for corporations.,They have decision-making power.,They have management power.,They can take any assets from the company.,B,"They have decision-making power. Stockholders have voting rights in shareholder meetings. These votes allow them to influence major decisions such as mergers, changing compensation, or electing a board of directors. Stockholders own shares in the company, but they do not own the company itself. Therefore, they do not have liability for corporations and cannot take any assets from the company. Stockholders also do not have management power at the company. https://www.investopedia.com/terms/s/stock.asp",,10,easy
Which of the following is a reason that you might file an automobile insurance claim:,You got a flat tire.,Your car battery died.,"You left your car doors unlocked, and someone stole your phone.",You accidentally ran a red light and hit another vehicle. PERSONAL FINANCIAL LITERACY EXAM 15,D,"You accidentally ran a red light and hit another vehicle. Car insurance pays for accidents that you've caused and accidental damage such as vandalism or weather-related issues. If you run a red light and get into an accident, you should file a claim with your automobile insurance company. Unless your flat tire was caused by vandalism, auto insurance will not cover it. Auto insurance also does not cover property stolen from within a vehicle; it only covers damage to the vehicle itself. Finally, auto insurance does not cover car maintenance issues such as dead batteries. Cengage Learning, Inc.",,10,easy
"Henry is a professional banker. Only certain peopleâ€”""members""â€”may save at or borrow money from his deposit-taking financial institution. Henry most likely works for a(n)",CPA firm.,insurance company.,credit union.,mortgage company.,C,"Credit union. Credit unions are essentially cooperatives providing financial products and services to a group of individuals who work for the same employer or share some other common interest or characteristic. Only members may save at or borrow from a credit union. Credit unions offer many different types of accounts, including interest-bearing checking accounts, also called share-draft accounts. Mortgage companies, insurance companies, and Certified Public Accounting (CPA) firms are not deposit-taking financial institutions. 2022, from https://www.investopedia.com/walkthrough/corporate-finance/1/financial-institutions.aspx PERSONAL FINANCIAL LITERACY EXAMâ€”KEY 24",,10,medium
For which of the following costs do health insurance providers typically provide payment:,Attorney fees for a medical malpractice case,Dental expenses for the cost of tooth extraction,Funeral expenses for a deceased person,The cost of an open-heart surgery,D,"The cost of an open-heart surgery. Primary care and life-saving medical costs are typically covered by health insurance providers. Many health insurance providers do not provide payment for dental expenses. Health insurance does not cover attorney fees if a client is pursuing a medical malpractice case. Health insurance providers do not provide payment for funeral expenses. Retrieved August 24, 2022, from https://www.aimseducation.edu/blog/us-vs-canadian-healthcaredifferences/",,10,easy
A warranty that covers the entire product is known as a(n) __________ warranty.,full,implied,limited,express,A,"Full. A full warranty is one that covers the entire product. A warranty concerning the quality of the product that is written or expressed verbally is an express warranty. A limited warranty is one that does not contain the provisions of a full warranty. It may cover only certain repairs, specific parts, or a particular time period. An implied warranty is one that is understood by the customer and the seller that the product will perform as expected.",,10,easy
An advantage of owning a small business is that the owner usually,carries little financial risk.,does not pay taxes.,has creative freedom.,works shorter days.,C,"Has creative freedom. Since a small business owner controls and organizes their business, they can implement their vision with near-complete freedom. They have the license to establish their own business model, company culture, product line, and much more. Owning a small business carries considerable financial risk because the owner is typically the sole proprietor responsible for generating capital in order to fund and maintain their business. Because the process of starting a small business is so intensive and complicated, small business owners will usually work very long days, especially in the nascent stages of the business. Business owners must still pay various employment, income, and excise taxes, regardless of the size of their business. Earning Income Grade 12 Schooley, S. (2023, January 23). Pros and cons of being a small business owner. Retrieved February 6, 2023, from https://www.businessnewsdaily.com/7957-good-bad-owning-business.html",,1,easy
Which of the following scenarios best represents an individual using insider trading:,Leyla invests in a company after new information is made public.,"Johnny invests in a company after obtaining non-public, material information.",DeAndre invests in one company over another because of their reputations.,Anna decides not to invest in a company after conducting online research.,B,"Johnny invests in a company after obtaining non-public, material information. Insider trading refers to the buying or selling of a public company's stock or other securities by someone who has non-public, material information about the stock. Insider trading is illegal when the material information is not public. Because Johnny obtained non-public, material information about the company he invested in, he is using insider trading. Leyla, Anna, and DeAndre are not using insider trading because all of the information they are using to help them make their investing decisions is public. Investing Grade 12 Ganti, A. (2022, March 7). What is insider trading, and when is it legal? Retrieved February 6, 2023, from https://www.investopedia.com/terms/i/insidertrading.asp",,1,medium
"When Gabrielaâ€™s parents passed away, their assets were transferred to her. Those assets were taxed by the federal government according to their current market value. This is an example of a(n) __________ tax.",tax,estate,income,excise,B,"Estate. An estate tax is a tax placed on the transfer of assets, or estate, of a deceased person to an identified beneficiary. When Gabriela received her parentsâ€™ estate after their passing, those assets were taxed by the government in the form of an estate tax. Income tax is the portion of a personâ€™s earnings from a salary or wages that is owed to the government. A personâ€™s estate is not considered income. Excise taxes are taxes charged to specific goods, but are not levied on an entire estate. Property tax is a tax on the value of a property or piece of land owned by a person or organization. While a physical estate may be subject to property tax, the tax on the transfer of that estate to another entity is considered an estate tax, not a property tax. Earning Income Grade 12 Kagan, J. (2023, January 18). Estate tax: Rates, exclusions, and impact on gift and inheritance taxes. Retrieved February 6, 2023, from https://www.investopedia.com/terms/e/estatetax.asp",,1,medium
An employee salary is an example of a(n) __________ cost.,explicit,opportunity,variable,implicit,A,"Explicit. An explicit cost is a normal cost associated with a business that will be noted in a companyâ€™s ledger or balance. Employee salaries are considered normal, everyday costs of a business. An opportunity cost is the loss of a potential benefit that would have been gained from an option not chosen. An implicit cost is a cost that has already been incurred by a business but is not necessarily reported as an expense. Both opportunity and implicit cost imply a scenario where money has not been exchanged, which is not the case for an employee salary. An employee salary is not a variable cost; it is fixed over time, regardless of changes in production or sales. Earning Income Grade 12 Kenton, W. (2020, October 25). Implicit costs explained: How they work, with examples. Retrieved February 2, 2023, from https://www.investopedia.com/terms/i/implicitcost.asp PERSONAL FINANCIAL LITERACYâ€”KEY 2",,1,easy
Melody starts driving for Uber to make some extra income. Melody is participating in,a Ponzi scheme.,the insurance industry.,the gig economy.,a supply chain.,C,"The gig economy. The gig economy is a labor market that is largely comprised of temporary and part-time jobs. Uber and other transportation services, such as Lyft and DoorDash, employ part-time contractors as their driving forceâ€” therefore, these companies and their contractors are participants in the gig economy. Uber is not involved in the insurance industry; they would mainly be considered within the service industry. A supply chain is a network of organizations, activities, and technologies involved in creating a product and delivering it to the consumer. Being an Uber driver is technically contract work within the service industry that is not involved in delivering a product to a customer. A Ponzi scheme is an illegal scam to defraud investors and is not related to the gig economy or Uber, which are legal activities. Earning Income Grade 12 Alpert, G. (2022, March 15). How Uber makes money. Retrieved February 3, 2023, from https://www.investopedia.com/ask/answers/013015/how-do-ridesharing-companies-uber-makemoney.asp",,1,easy
Which of the following organizations is responsible for the collection of taxes in the United States:,Internal Revenue Service,Central Intelligence Agency,Department of Commerce,Congressional Budget Office,A,"Internal Revenue Service. The Internal Revenue Service, or IRS, is a federal agency responsible for the collection of taxes in the United States, as well as the enforcement and implementation of tax laws and codes. The Central Intelligence Agency (CIA) is responsible for gathering foreign intelligence for a variety of purposes, including national security. The Congressional Budget Office, or CBO, is responsible for providing economic information to the United States Congress. The U.S. Department of Commerce is responsible for stimulating economic growth and is not directly tied to tax collection in any capacity. Earning Income Grade 12 IRS. (2023). The agency, its mission, and statutory authority. Retrieved February 6, 2023, from https://www.irs.gov/about-irs/the-agency-its-mission-and-statutory-authority",,1,medium
Which of the following is a disadvantage of value stocks:,They have higher expected returns in the long term.,They may take much longer to see profits.,They are more likely to pay dividends.,They perform poorly when the market is in a downturn. PERSONAL FINANCIAL LITERACY 2,B,"They may take much longer to see profits. Value stocks are stocks that trade at lower-than-average prices because they have been overlooked or undervalued by investors. A common disadvantage associated with value stocks is that it may take much longer to see profits when compared to growth stocksâ€”stocks that achieve capital appreciation rather than paying dividends. Other disadvantages of value stocks include that they may be harder to find as the number of value stocks shrinks, as many value stocks are already in a downtrend and may continue to fall. Three advantages of value stocks are that they generally perform well (not poorly) when the market is in a downturn, they are more likely to pay dividends, and they have higher expected returns in the long term. Investing Grade 12 Matthews II, K.L. (2022, November 2). Growth stocks vs. value stocks: Two types of equities with different levels of investment risk. Retrieved February 2, 2023, from https://www.businessinsider.com/personal-finance/value-vs-growth-stocks#what-are-value-stocks",,1,easy
"Leandro has decided to quit his current job and pursue a better opportunity at a different company. While waiting to start his new job, there is a brief period of time in between jobs where he is unemployed. This type of unemployment is known as __________ unemployment.",frictional,institutional,structural,cyclical,A,"Frictional. Frictional unemployment is the temporary unemployment that occurs when individuals deliberately change jobs. The time in between Leandroâ€™s old job and his new one is frictional unemployment because he is voluntarily becoming unemployed for a brief time, a natural occurrence in the labor force. Structural unemployment is a type of unemployment that results from changes in an industry, usually from technological innovations. There is no evidence that industry changes led to Leandro being unemployed. Institutional unemployment results from overarching institutional events or decisions, such as government policies or drastic labor market shifts. There are no large institutional factors on display in this example. Cyclical unemployment is based on economic fluctuations, which are not apparent in Leandroâ€™s case. Earning Income Grade 12 Hayes, A. (2022, December 8). What is unemployment? Understanding causes, types, measurement. Retrieved February 2, 2023, from https://www.investopedia.com/terms/u/unemployment.asp PERSONAL FINANCIAL LITERACYâ€”KEY 3",,1,hard
"Graysonâ€™s company is experiencing financial struggles during an economic recession. To cut back on expenses during the economic downturn, the company decides to lay off several employees, including Grayson. Graysonâ€™s situation is an example of __________ unemployment.",frictional,structural,voluntary,cyclical,D,"Cyclical. Cyclical unemployment is unemployment based on economic upturns and downturns. In this case, an economic recession has caused Graysonâ€™s company to lay him off. Structural unemployment is a type of unemployment that results from changes in an industry, usually from technological innovations. Grayson losing his job is not a result of technological developmentsâ€”it is a result of an economic downturn. Frictional unemployment is the temporary unemployment that occurs when individuals deliberately change jobs. Grayson did not deliberately decide to change jobsâ€”he was laid off due to cyclical unemployment. Graysonâ€™s unemployment was not voluntary. He was laid off by his company due to a negative economic fluctuation. Earning Income Grade 12 Maryville University. (2023). 8 types of unemployment: Understanding each type. Retrieved February 6, 2023, from https://online.maryville.edu/blog/8-types-of-unemployment-understanding-each-type/",,1,medium
"Nikola likes the idea of earning money through investing, but he is hesitant because he is afraid of losing money. He'd rather save his money than take even a small risk in investing. What type of behavioral bias does Nikola demonstrate?",Anchoring bias,Overconfidence bias,Loss aversion,Mental accounting,C,"Loss aversion. Behavioral biases are unconscious beliefs that influence decisions when investing. Loss aversion refers to an investor's bias toward avoiding losses over seeking gains. Because Nikola is afraid of losing money and is hesitant to invest, he is demonstrating loss aversion. Overconfidence bias is a common tendency in investing in which individuals see themselves as better than they are, which can lead to the mismanagement of risk. Anchoring bias refers to the phenomenon where an individual values an initial piece of information too much to make subsequent judgments. Mental accounting is the concept where individuals treat money differently depending on where it comes from and what they think it should be used for. Nikola does not demonstrate overconfidence bias, anchoring bias, or mental accounting. Investing Grade 12 Lewis, R. (2022, August 15). 5 common behavioral biases and how they lead investors to make bad decisions. Retrieved February 3, 2023, from https://www.businessinsider.com/personalfinance/behavioral-biases",,1,medium
"Matty typically budgets $50 for groceries each week, but sheâ€™s noticed recently that prices for food have been steadily increasing. Now, sheâ€™s not sure that $50 will be enough to cover her typical grocery list, so she decides to cut out some items she normally purchases. This is an example of how __________ affect(s) purchase decisions.",fixed incomes,interest rates,inflation,deflation,C,"Inflation. Inflation is a steady increase in the general price levels of consumer goods and services over a period of time. In this example, Matty is seeing the price of her typically-purchased goods rise over time. As a result, her purchasing power is decreased, as her money doesnâ€™t buy as much as it used to, and she must adjust which groceries to buy. This is an example of how inflation affects purchase decisions. Deflation is the opposite of inflation. There is no evidence here that deflation, interest rates, or a fixed income has impacted Mattyâ€™s decision. Spending Grade 12 LAP-EC-083â€”Up, Up, and Away (Inflation)",,2,medium
Which of the following is an example of an intangible job benefit:,Life insurance,Vacation time,Competitive salary,Employee recognition,D,"Employee recognition. Intangible job benefits are the assets of a job that do not have clear financial value, but nevertheless make a job a more desirable and rewarding experience. Employee recognition, for example, has no measurable financial value, but it helps promote a healthy work culture and imbues employees with a sense of pride and validation. Competitive salaries and life insurance both possess a more measurable value because they represent a financial asset being provided by a company. Vacation time, or paid time off, is a tangible benefit that can be measured financially because each vacation day represents employees being compensated without needing to work. Earning Income Grade 12 Employers. (2018, December 19). Intangible benefits that make a job rewarding. Retrieved January 2, 2023, from https://www.jobspartnership.org/news/students/intangible-benefits-that-make-a-jobrewarding/ PERSONAL FINANCIAL LITERACYâ€”KEY 4",,2,easy
A fixed-rate mortgage is different than an adjustable-rate mortgage in that a fixed-rate mortgage,charges an interest rate that rises or lowers over time.,is initially cheaper than an adjustable-rate mortgage.,charges a set rate of interest that does not change.,is more complicated than an adjustable-rate mortgage. PERSONAL FINANCIAL LITERACY 3,C,"Charges a set rate of interest that does not change. A fixed-rate mortgage is different than an adjustable-rate mortgage in that a fixed-rate mortgage charges a set rate of interest that does not change throughout the life span of the loan. An adjustable-rate mortgage (ARM) has an initial interest rate that is set below the market rate on a comparable fixed-rate loan, and then the rate rises or lowers over time. An ARM is typically more complicated than a fixed-rate mortgage. An ARM is also typically much cheaper than a fixed-rate mortgage, especially in the first three to seven years. Earning Income Grade 12 McWhinney, J. (2022, June 14). Fixed-rate vs. adjustable-rate mortgages: What's the difference? Retrieved January 23, 2023, from https://www.investopedia.com/mortgage/mortgage-rates/fixedversus-adjustable-rate",,2,hard
What factor accounts for 35% of your credit score?,Length of credit history,Credit mix,Payment history,How much you owe,C,"Payment history. A credit score is a three-digit number typically ranging from 350 to 850 and is one of the most important measures of your creditworthiness. A credit score is based on five factors: payment history, how much you owe, length of credit history, credit mix, and new credit. Of these five factors, payment history accounts for 35% of your credit score. Payment history shows whether you make payments on time, how often you miss payments, how many days past your due date you pay bills, etc. How much you owe accounts for 30% of your credit score. Length of credit history accounts for 15%, while credit mix and new credit each account for 10%. Earning Income Grade 12 Wells Fargo. (2023). How your credit score is calculated. Retrieved January 24, 2023, from https://www.wellsfargo.com/financial-education/credit-management/calculate-credit-score",,2,easy
Which of the following statements about soft credit inquiries is true:,They do not affect your credit score.,They are not listed on your credit report.,They deduct points from your credit score.,They occur only when you apply for credit.,A,"They do not affect your credit score. A soft credit inquiry is an inquiry into your credit report either by a company or you. Soft inquiries do not affect your credit score, as they are not a formal credit application. They can occur when you apply for credit, but they are also primarily used for background checks or to screen for a preapproval offer. Soft inquiries are listed on your credit report. Hard inquiries are credit information requests that include your full credit report and deduct points from your credit score. Hard inquiries are necessary when you apply for credit, as a lender will not extend credit without one. Earning Income Grade 12 Kagan, J. (2021, March 24). What is a soft credit check? Definition and how it works. Retrieved January 24, 2023, from https://www.investopedia.com/terms/s/soft-inquiry.asp",,2,easy
A traditional individual retirement account (IRA) differs from a Roth IRA in that it allows you to contribute,tariffs.,pre-tax dollars.,untaxable monies.,accounts payable.,B,"Pre-tax dollars. An individual retirement account (IRA) is a tax-deferred retirement plan, usually for people not covered by a 401(k) plan. A key difference between traditional IRAs and Roth IRAs is the timing of their tax advantages: a traditional IRA allows you to contribute pre-tax dollars. A tariff is a tax on imported goods (also called a duty). Accounts payable refers to the monies owed by a business to others, and it can also be the name of a company department. Untaxable monies is a fictitious term. Saving Grade 12 Appleby, D. (2023, January 15). Roth IRA vs. traditional IRA: Key differences. Retrieved January 19, 2023, from https://www.investopedia.com/retirement/roth-vs-traditional-ira-which-is-right-for-you/ PERSONAL FINANCIAL LITERACYâ€”KEY 5",,2,hard
Which of the following is considered an alternative financial service:,Thrifts,Pawnshops,Commercial banks,Credit unions,B,"Pawnshops. Alternative financial service is a term used to describe financial services offered by providers that operate outside of federally insured banks and thrifts. Examples of alternative financial services include pawnshops, check-cashing outlets, payday loans, and instant tax refunds. Commercial banks, credit unions, and thrifts (another name for savings and loan associations and savings banks) are each considered traditional financial services. Earning Income Grade 12 United Way Worldwide. (n.d.). Understanding alternative financial service providers. Retrieved January 25, 2023, from https://www.unitedway.org/my-smart-money/immediate-needs/i-need-more-affordablefinancial-products/understanding-alternative-financial-service-providers#",,2,medium
"Sandra wants to open a savings account to hold her $10,000, but she isnâ€™t sure which bank to use. Bank A offers an interest rate of 2.2%, while Bank B offers 1.8%. Sandra also learned from her cousin about Bank C, which has an interest rate of 2.9%, and sheâ€™s also considering Bank D, which offers an interest rate of 1.7%. In what location should Sandra open her savings account?",Bank B,Bank A,Bank C,Bank D,C,"Bank C. Itâ€™s important for consumers to compare interest rates across financial institutions so they receive the best fit for their needs. An interest rate is the amount a lender charges a borrower for use of the money, expressed as a percentage of the principal loan amount. In this scenario, Sandra is â€œloaningâ€ her money to a bank, which will house the money in a savings account. Higher interest rates are better for consumers, because it means the money they place in banks will increase at a greater rate. Since Bank C has the greatest interest rate, it makes sense for Sandra to open her savings account at that location. Saving Grade 12 Huffman, M. (2022, September 28). What to look for in a savings account. Retrieved January 19, 2023, from https://www.alliantcreditunion.org/money-mentor/what-to-look-for-in-a-savings-account",,2,hard
Which of the following agencies is responsible for supervising and maintaining public confidence in financial institutions:,Bureau of the Fiscal Service,Federal Deposit Insurance Corporation (FDIC),Department of Health and Human Services (HHS),Bureau of Economic Analysis,B,"Federal Deposit Insurance Corporation (FDIC). The Federal Deposit Insurance Corporation is an independent agency tasked with supervising and maintaining public confidence in financial institutions. The FDIC was created after the devastation of the Great Depression and insures deposits in the case of bank failures. The Bureau of the Fiscal Service is part of the U.S. Department of Treasury and is responsible for managing the governmentâ€™s accounting and public debts, including voluntary donations. The Bureau of Economic Analysis is part of the U.S. Department of Commerce and is responsible for providing official statistics regarding the economy. The Department of Health and Human Services (HHS) is responsible for protecting public health and providing human services. Saving Grade 12 Kagan, J. (2020, May 5). Federal Deposit Insurance Corporation (FDIC): Definition & limits. Retrieved January 19, 2023, from https://www.investopedia.com/terms/f/fdic.asp",,2,hard
Which of the following statements about financial goals is true:,Building an emergency fund is one of the last steps in financial planning.,You shouldnâ€™t revisit your financial goals so you can stay focused over time.,You should share financial goals with a partner before combining finances.,Setting financial goals only needs to happen once you have dependents. PERSONAL FINANCIAL LITERACY 4,C,"You should share financial goals with a partner before combining finances. Setting financial goals is extremely important, because the state of your finances impact not just you, but family members, tooâ€”especially if you combine finances with a partner. You should discuss any individual and shared financial goals with your partner before combining finances to make sure you are both in agreement. Building an emergency fund is often one of the first steps in financial planning. Setting financial goals can (and should) happen any time you have finances to manage, and not just once you have dependents. You should revisit your goals often to assess progress and in case circumstances have changed. Saving Grade 12 WSECU. (2022, January 31). Why couples should talk about financesâ€”and how to do it. Retrieved January 20, 2023, from https://wsecu.org/resources/why-couples-should-talk-about-finances PERSONAL FINANCIAL LITERACYâ€”KEY 6",,2,easy
Which of the following is most likely to be a short-term financial goal:,Paying off credit card debt,Paying off a mortgage,Saving for retirement,Opening a business,A,"Paying off credit card debt. Generally, a short-term financial goal is one that will take no more than one to two years to achieve. While everyoneâ€™s circumstances are different, and therefore their short- and long-term goals will vary, paying off credit card debt is a common short-term goal. Opening a business, saving for retirement, and paying off a mortgage are all actions that will likely take much longer than two years to achieve, so they are best described as long-term financial goals. Spending Grade 12 Tally Technologies, Inc. (2022, October 12). Short-term vs. long-term goals: Planning your financial future. Retrieved January 24, 2023, from https://www.meettally.com/blog/short-term-vs-long-termgoals",,3,easy
