Question,A,B,C,D,Correct,Explanation,Marketing,Assessment,Difficulty
Marketers adjust the elements of the marketing mix to attract a particular,product/service.,target market.,market economy.,divisional structure.,B,"Target market. The marketing mix is a set of four elements (i.e., product, place, promotion, price) that are combined in different ways to reach a particular target market. A target market is the specific group of customers that a business seeks to attract and on whom a business focuses its marketing efforts. A product/service is a good, service, or idea that a company offers its customers. A market economy is an economic system in which the questions of what, how, and for whom goods will be produced are answered by individuals and businesses in the marketplace. A divisional structure is an organizational design in which the firm is broken down into units according to factors such as product, process, territory, customer type, etc.",Market Planning,5,medium
Which of the following forms of segmentation involves focusing on customers' lifestyles and personalities:,Behavioral segmentation,Psychographic segmentation,Geographic segmentation,Demographic segmentation,B,"Psychographic segmentation. Psychographic segmentation separates customers into groups based on variables such as customers' personality and lifestyleâ€”in other words, customers' individual qualities or traits and the ways in which people lead their daily lives. Behavioral factors separate markets based on rate of use, benefits derived, loyalty response, and occasion response. Geographic segmentation involves grouping customers according to where they are located. Demographic segmentation divides a market based on its physical and social characteristics such as age, gender, race, or income.",Market Planning,5,hard
Which of the following is a key subject that should be covered by a situation analysis:,Financial plans,Marketing objectives,Product strategy,Collaborators,D,"Collaborators. The situation analysis should look at the company, the customers, the competitors, the collaborators, and the climate (external factors). These areas are sometimes known as the 5 C's. Collaborators include any partnerships or relationships that a company has. Marketing objectives and financial plans have their own respective sections of the marketing plan. Product strategy falls under the marketing strategies and programs section of the marketing plan.",Market Planning,5,easy
A management team performs a SWOT analysis and sees a big technological change coming in their industry. They believe that their competitors will not be ready to adjust to this change quickly. The management team sets new strategic goals to begin adapting for the coming change before their competitors do. This is an example of using a SWOT analysis to convert a __________ into a(n) __________.,threat; opportunity,weakness; strength,weakness; opportunity,strength; opportunity,A,"Threat; opportunity. Threats and opportunities are factors external to an organization, whereas strengths and weaknesses are internal. Recognizing an external factor that could potentially create risk for an organization and adjusting to use that potential issue as a chance to gain a competitive advantage is an example of converting a threat into an opportunity. Weaknesses are internal factors, which cannot be converted into opportunities or threats. While efforts should be made to match strengths to opportunities, they are not converted into them. Additionally, the scenario doesn't identify the company's strengths or weaknesses, nor whether any of its weaknesses can be turned into a strength. Cengage Learning, Inc.",Market Planning,6,hard
"While conducting secondary research prior to writing a report, Vijay finds an article that strongly supports his thesis statement. Unfortunately, the source doesn't list any references. What should Vijay do?",Try to validate the information in other ways,Trust the information unless it is from an online source,Assume the information is not valid,Look at claims made by different authors on the same website,A,"Try to validate the information in other ways. If you find an article that doesn't list any references, one way you could try to validate the information is by searching for information on the author. Another way would be to search for other experts who agree with the information in the article. Sometimes multiple authors of varying levels of expertise are published on the same website. There are many sources, printed or online, that offer valid information but do not necessarily list references. evidence. Retrieved August 28, 2019, from https://myelms.umd.edu/courses/1082806/pages/what-is-a-good-source-determining-thevalidity-of-evidence",Information Management,6,medium
"Jamil is creating a website for his startup business. What service should Jamil use to store files, publish online, and be visible to Internet users?",Website design,Personal branding,Web hosting,Domain purchasing,C,"Web hosting. Websites and website files must be hosted on a server to be visible to Internet users. Personal branding and website design might help you gain customers but will not host your website for you. Domain purchasing can also help attract Internet users, but hosting on a server is required for the domain to be useful. https://websitesetup.org/",Information Management,6,easy
Which of the following statements best describes the relationship of data warehouses and data marts:,A data mart is more helpful than a data warehouse because a data mart can utilize information from any department.,A data mart contains data from multiple subject areas and is a more complex form of a data warehouse.,A data mart takes more time to process than a data warehouse because a dart mart includes a larger amount of data.,A data mart contains data on a single subject and is a simpler form of a data warehouse.,D,"A data mart contains data on a single subject and is a simpler form of a data warehouse. A data mart is a subset of a data warehouse. A data warehouse contains information from multiple data marts. Due to the amount of information in a data warehouse, it takes longer to process. A data warehouse contains information that is more useful than the data in a data mart because it covers more departments or subject areas. Retrieved December 13, 2019, from https://www.dataversity.net/difference-data-mart-datawarehouse/",Information Management,6,medium
Which of the following measures of central tendency is the most influenced by outliers at the extremes of a data set:,Median,Mode,Mean,Range,C,"Mean. The mean, often referred to as the â€œaverageâ€ of a data set, is calculated by adding together the values of all items in a data set and then dividing by the number of items. This number can be heavily influenced by outliers because it uses all items in its calculation. Median refers to the item in a data set that occurs in the middle when the items are listed by value from the lowest to the highest. Therefore, median is much less affected by outliers than the mean. Mode refers to the item that occurs the most frequently in a data set. Since outliers, by definition, occur less frequently, they do not affect the mode. Range is the difference between the item of highest value and the item of lowest value in the data set. It is not a measure of central tendency. 2019, from https://searchdatacenter.techtarget.com/definition/statistical-mean-median-modeand-range",Information Management,6,easy
"Natalie started painting her bedroom, using paint that was left over from another of her remodeling projects. Halfway through, she realized that she didn't have enough paint. If Natalie had planned ahead for the project, she would not have",experienced the negative effects of cutting corners.,lost focus on the project goal.,forgotten to consider her budget.,lost the engagement of her project's stakeholders.,A,"Experienced the negative effects of cutting corners. Any time you take a shortcut, you're taking a risk that your project will not be as good as it could be. Planning helps you foresee what could go wrong and helps prevent project failure. If Natalie had planned ahead, her painting project would have been more successful. Natalie did not necessarily lose focus on the project goal, forget to consider her budget, or lose the engagement of her project's stakeholders.",Operations,6,easy
"A textbook publisher used to release a new edition of each book every three years. Now, it uses project management to release new updates to its digital textbooks every month. This is an example of how __________ lead(s) to the need for projects.",increased competition,technological advancements,globalization,communication problems,B,"Technological advancements. The business environment is dynamic, which means it's always changing. This is due to a globalized economy, increased competition, and constant technological advances. Businesses must maintain flexibility so that they can take advantage of new opportunities quickly and effectively. In this example, constant technological advances have increased the textbook publisher's need to use projects so it can update its product more frequently. This example is not related to increased competition, globalization, or communication problems.",Operations,6,medium
"You are the purchasing agent for a small restaurant, and you need to find a new vegetable supplier. You have four choices from which to choose: Vendor Q, Vendor X, Vendor Y, and Vendor Z. Your aunt owns the farm from which Vendor Q gets its vegetables. Vendor X's quotation most closely matches your restaurant's requirements. Vendor Y's quotation includes a gift certificate to a local store. Your manager's brother owns Vendor Z. Which vendor should you choose?",Vendor Y,Vendor X,Vendor Z,Vendor Q,B,"Vendor X. When selecting a supplier, it is important to do so ethically and without bias. By selecting the vendor that best matches the restaurant's requirements, you are making the best choice for your company and assessing each possible vendor according to objective criteria. Choosing Vendor Y because it includes a gift certificate is an example of bribery. Choosing Vendor Q or Z is an example of favoritism or nepotism. Retrieved October 11, 2019, from https://www.logisticsbureau.com/ethics-in-procurementsimple-but-not-always-easy/",Operations,6,hard
Process performance management (PPM) gives businesses the opportunity to,check the quality of employee compensation packages.,monitor the interactions of supervisors and subordinates.,compare their finished products to competitors' products.,correct production issues before they become problems.,D,"Correct production issues before they become problems. Process performance management (PPM) enables organizations to catch issues before they become problems and take suitable corrective actions to ensure that quality won't suffer. Because PPM is the supervision of business and/or manufacturing processes to ensure their quality and efficiency, it does not relate to supervisor-subordinate interactions, competitor products, or employee compensation packages.",Operations,6,hard
The BMY company requires employees to frequently change passwords to access customer records.,provide IT training to employees.,eliminate employee access to data.,encrypt sensitive customer data.,protect against data breaches.,D,"Protect against data breaches. Requiring employees to change passwords frequently is a technique companies often use to help protect against data breaches. A company eliminates employee access to data by using measures other than a routine password change. Encryption is a technique used to make data unreadable and is unrelated to password changes. Changing passwords is a simple process that does not typically require IT training. December 13, 2019, from https://www.businessknowhow.com/technology/datasecurity.htm",Operations,6,easy
Zane sets a goal to run a half marathon next summer. What can he do to keep this goal front-of-mind?,Change it frequently,Write it down,Set a reminder,Buy new shoes,B,"Write it down. It's important to put goals on paper. If you form an idea of what you want to do but neglect to write it down, you could forget it. A written goal is something you can refer back to at any time. You can look it over to keep yourself on target as you work toward achieving it. Writing out your goals also helps you clarify them in your own mind. You shouldn't change your goals on a whimâ€”change goals only when appropriate. Setting a reminder allows Zane to forget about his goal until closer to his deadline, which will not help him be successful. Buying new shoes might help Zane ultimately accomplish his goal, but it will not help keep his goal in the front of his mind.",Professional Development,7,easy
"Marianne is looking for a new job. Her friend Zach has offered to set up a coffee meeting between Marianne and his mother, who works in the field in which Marianne is interested. However, Marianne isn't sure that the coffee meeting will be worth her timeâ€”she is busy and would prefer to spend that time updating her rÃ©sumÃ©. Should Marianne take Zach up on his offer?",Yes; Marianne could learn more about her preferred career field and any unadvertised openings.,Yes; Marianne could tell Joey's mother about her own work experience and ask for an interview.,No; Marianne would hear outdated information because jobs and career fields change quickly.,No; Marianne should focus on developing her rÃ©sumÃ© as the sole strategy for her job search.,A,"Yes; Marianne could learn more about her preferred career field and any unadvertised openings. Discussing career opportunities with workers who are employed in jobs or fields in which you are interested has many benefits. For example, speaking with Joey's mother would give Marianne a better idea of what it is like to work in that field and an insight into potential jobs in the field, even if they aren't available yet to the public. It would be inappropriate of Marianne to use this opportunity to talk about herself and request an interview. Many career fields are changing, but that doesn't mean that Joey's mother wouldn't have valuable insight. RÃ©sumÃ©s are important in a job search, but they should not be the only tool job seekers use. ed.) [Lessons 6-1, 6-2]. Boston, MA: Cengage Learning, Inc.",Professional Development,7,easy
Zola is writing a follow-up letter to a potential employer after her recent interview. Which of the following would be most appropriate to include in the letter:,A reinforcement of how Zola's experience can help the company reach its goals,A desired salary and Zola's research regarding current compensation trends,A copy of Zola's rÃ©sumÃ© to ensure the employer sees all of her accomplishments,A question regarding the company's vacation package so Zola can make plans,A,"A reinforcement of how Zola's experience can help the company reach its goals. Thank-you notes and follow-up letters after interviews are good opportunities to clarify or reinforce information with the potential employer. Discussing salary and vacation packages in the follow-up letter is not appropriate; these conversations will likely take place during the interview or after an offer has been made. Including a copy of her rÃ©sumÃ© with the follow-up letter would be redundant, as the interviewer should already have a copy of Zola's rÃ©sumÃ© from her job application and/or interview. ed.) [Lesson 12-1b]. Boston, MA: Cengage Learning, Inc.",Professional Development,7,easy
Companies that implement a clear chain of command often experience a __________ workflow with less __________.,smoother; communication,more flexible; redundancy,smoother; redundancy,more flexible; communication,C,"Smoother; redundancy. Organizations with effective chains of command see a smoother workflow and tend to have fewer workflow problems such as redundancy and confusion. A strong chain of command can improve overall communication among employees, not lessen itâ€”the chain of command ensures that communication within a company is methodical, orderly, and efficient. A chain of command does not make workflow more flexible because it implements a hierarchy that should be followed.",Professional Development,7,medium
Which of the following is a job duty for advertisers:,Negotiating with vendors,Persuading people to buy what the company is selling,Running product tests,Managing crises that may threaten reputations,B,"Persuading people to buy what the company is selling. Advertising is a big field that encompasses many different positions and job duties. Even though they may have different job duties, all advertisers work together to catch the public's attention, inform people of their products, company, or ideas, and persuade people to buy what they're selling. Negotiating with vendors is a responsibility of merchandisers and buyers. Marketing research professionals run product tests. Public relations professionals manage crises that may threaten reputations.",Professional Development,7,easy
Which of the following is an example of a price:,A checking account,An investment goal,An interest rate,A financial report,C,"An interest rate. A price is the amount of money paid for a good, service, or resource. Many things that are not physical goods can still have prices. An interest rate is the price that a lender charges for borrowing money. An investment goal does not necessarily have a price. A financial advisor might charge a price for helping a person set an investment goal, however. A checking account is not itself a price; although some checking accounts require a fee (price) for opening one. A financial report is not a price, even though some accountants charge prices for preparing them.",Pricing,7,easy
Companies are rarely charged with predatory pricing because it is,difficult to establish that companies are working together or colluding.,legal to charge different prices in different neighborhoods.,legal to display an â€œoriginal priceâ€ that is over one year old.,difficult to prove a company's intentions for setting prices.,D,"Difficult to prove a company's intentions for setting prices. Predatory pricing refers to the practice of setting prices so low that rival companies cannot compete and are forced to leave the marketplace. However, it is difficult to prove the intentions for setting prices low. For example, setting a very low price to deplete excess supply would not be considered predatory. Charging different prices in different areas may be an example of price discrimination, but not predatory pricing. Deceptive pricing, not predatory pricing, may involve reporting â€œoriginal priceâ€ as higher than it was to give the appearance of a better deal. Companies colluding or working together to set prices may be an example of price setting, not predatory pricing. Cengage Learning, Inc.",Pricing,7,easy
Which of the following is a reason a company might set a low price on a new product:,To increase its return on investment,To generate the maximum profit,To increase its market share,To generate an exclusive image,C,"To increase its market share. Many companies set low prices to gather the largest market share they can right from the release of a new product. They might increase these prices over time after customers develop loyalty to the product. Setting low prices is not a common way of maximizing profit, increasing return on investment, or generating an exclusive image. Setting high prices would likely be a better way to accomplish these goals.",Pricing,7,medium
"Discovering new product opportunities, developing marketing plans and strategies, coordinating the product mix, and sustaining successful products for as long as possible are all examples of activities associated with which business function?",Marketing-information management,Product/Service management,Knowledge management,Inventory management,B,"Product/Service management. Product/Service management is a marketing function that involves obtaining, developing, maintaining, and improving a product or service mix in response to market opportunities. Product/Service management involves many activities, such as discovering new-product opportunities, developing marketing plans and strategies for products, coordinating the product mix, sustaining successful products as long as possible, reassessing products that are not meeting expectations, and eliminating products that have become liabilities. Marketing-information management is a marketing function that involves gathering, accessing, synthesizing, evaluating, and disseminating information to aid in business decisions. Knowledge management is the process of creating, identifying, collecting, organizing, sharing, and using knowledge and knowledge sources for the benefit of the organization or business. Inventory management is the process of supervising and controlling the number of finished products a company has in stock.",Product Management,7,hard
Jamison always camps out overnight to get in line for the newest technology releases. Jamison is a(n),late adopter.,ideal employee.,early adopter.,social laggard.,C,"Early adopter. During the growth stage of the product life cycle, a product quickly becomes established in the market. Profits improve as sales increase rapidly and costs go down. Customers who begin purchasing the product in the introduction stage are known as early adopters, because they are among the first to purchase a new product. Jamison is an example of an early adopter, not a late adopter or social laggardâ€”someone who waits to adopt a new product or technology until practically everyone else already has. There is no indication that Jamison is an ideal employee.",Product Management,7,easy
"Graphics and design, size, safety, and environmental impact are all ethical considerations associated with",advertising campaigns.,product packaging.,press release schedules.,product labeling.,B,"Product packaging. One key area that often presents ethical challenges for product managers is product packaging. Product managers are responsible for developing attractive, cost-effective packaging materials for their products. Graphics and design, size, safety, and environmental impact are all ethical considerations associated with product packaging, not advertising campaigns, press release schedules, or product labeling.",Product Management,8,medium
"Marshall noticed that his college campus had a problem: too many cars and not enough parking. To generate possible solutions, Marshall first thought about what would make the problem worse (more students with parking passes, fewer buses to class, etc.). What idea generation technique did Marshall use?",Forced questioning,Starbursting,Relay brainstorming,Reverse brainstorming,D,"Reverse brainstorming. Reverse brainstorming involves looking at the ""opposite"" solutions to a problem and then reversing them to find solutions. In this case, Marshall thought about what would make the identified problem worse. After doing so, he could reverse those ideas to come up with a solution. Starbursting is a technique that helps visually answer questions about your product opportunity to generate ideas. Relay brainstorming is a technique in which multiple individuals from competing teams respond in a certain order without assistance from teammates. Forced questioning is a technique that uses basic question starters to develop original questions about a product opportunity.",Product Management,8,easy
Which of the following is a potential drawback of using brainstorming to generate new ideas in business:,Unrealistic suggestions,Fresh perspectives,Unequal participation,Efficient use of time,A,"Unrealistic suggestions. Brainstorming is a creative-thinking technique involving the identification of as many different ideas as possible during a certain time period. Like any idea-generation technique, there are pros and cons of brainstorming. The main benefits of brainstorming include fresh perspectives, spontaneous thinking, and equal participation among group members. On the other hand, brainstorming is time-consuming and often requires a facilitator. Furthermore, ideas that are generated through brainstorming are often unrealistic. Unequal participation is usually not a problem with brainstorming, since all group members are encouraged to get involved. alternatives. Retrieved September 9, 2019, from https://boardview.io/blog/pros-consbrainstorming-best-alternatives/",Product Management,8,easy
"No matter where you purchase a universal serial bus (USB) cable, you know that it will fit into your computer or other device. This is because of",consumer education about technology products.,effective product advertising.,the use of public relations in the tech industry.,standards and grades in product marketing.,D,"Standards and grades in product marketing. Standards are used to establish reliability in products. For example, the same light bulbs will fit into light sockets in Washington, Florida, and Maine. And no matter where you purchase queen-size sheets, you can assume that they will fit your queen-size mattress. Standards and grades can be used to indicate how a product can be used, where it will be sold, the product's safety, and who the user can/should be. The reason consumers know that a USB cable will fit into a device no matter where they purchased the cable is because of standards and gradesâ€”not effective product advertising, the use of public relations in the tech industry, or consumer education about technology products.",Product Management,8,easy
Rachel recently purchased a new laptop computer. The salesperson explained to her that the manufacturer would cover repairs or replacements for any hardware issues within one year of her purchase. This is an example of a(n) __________ warranty.,full,limited,implied,understood,B,"Limited. A warranty is a promise made by the seller to the customer that the seller will repair or replace a product that does not perform as expected. There are several types of warranties, including limited, full, implied, and express. Full and limited warranties are two classifications of warranties based on the extent of the promises they make. Some products carry a full warranty. A full warranty states that if the product does not work properly, is defective, or does not live up to the warranty, it must be made good within a reasonable time. The company providing the warranty may not put time limits on any implied warranties the product may have. If the problem cannot be corrected in a reasonable time, the customer does not have to wait longer but may choose a refund or a replacement. The customer need only notify the warrantor to obtain repairs. A limited warranty is one that does not have all of the provisions of a full warranty. Instead of covering the entire product, it may cover specific parts, certain repairs, or a particular time period. An implied warranty is not written or stated orally. It is simply understood by both the seller and the customer that the product will perform as expected. An express warranty is a promise expressed in a specific statement concerning the quality of the product. It may be a written statement that is given to customers. â€œUnderstoodâ€ means the same thing as â€œimplied,â€ but is not generally a word used to describe a warranty.",Product Management,8,hard
"RJ's Ice Cream prides itself on its variety of unique ice cream flavors. The brand advertises its â€œ100 flavorsâ€ on all of its ice cream cartons, which come in various sizes to meet the needs of every customer.",consistent,shallow,deep,broad,C,"Deep. Most businesses use four dimensions to describe their product mixes. These are width, length, depth, and consistency. Width, also called breadth, refers to the number of product lines a company carries. (A product line is a group of related products.) The business with a narrow product mix offers a limited number of product lines. A business with a broad product mix offers many product lines. There is not enough information provided in this example to determine if RJ's Ice Cream offers a narrow or broad product mix. Depth refers to the assortment of sizes, colors, flavors, and models offered in a company's product lines. This dimension is usually considered to be deep or shallow. A business with a deep product mix offers significant variation of its products. The business with a shallow product mix offers few variations within the product line. RJ's Ice Cream offers a large variety of flavors, making its product mix deep rather than shallow. Consistency refers to how closely a company's product lines are related in terms of end use, methods of distribution and production, target market, and price range. If they are closely related on any one of these factors, the product mix is said to be consistent. On the other hand, if the lines are not closely related, the product mix is considered inconsistent. There is not enough information provided to determine if RJ's Ice Cream has a consistent product mix.",Product Management,8,easy
An insurance company offers customers a discount when they purchase both a homeowners policy and an automobile policy. The deal benefits customers by providing them with two needed products for less; it benefits the company by bringing in more customers and encouraging more sales. This is an example of,sales volume analysis.,product bundling.,product awareness.,channel management.,B,"Product bundling. Bundling is a marketing strategy that involves offering several products for sale as one combined product. When done right, product bundling can lead to increased sales for businesses and greater customer satisfaction. An example of product bundling is a homeowners and automobile insurance package for less than the price of buying each product separately. Another example is a meal from a fast-food restaurant that combines a burger, fries, and a drink for one low price. Sales volume analysis is a breakdown of sales volume data that allows a company to measure its actual sales against a number of different criteria. Product awareness refers to the target market's knowledge and understanding of a certain brand or product. Channel management refers to processes by which marketers ensure that products are distributed to customers efficiently and effectively. from https://smallbusiness.chron.com/product-bundling-strategy-41789.html",Product Management,8,medium
"The soft-drink brand Coca-Cola is branded by the company that produces it. In other words, Coca-Cola's producers make all decisions regarding the use of its brand. Coca-Cola is a(n) __________ brand.",individual,private,family,manufacturer's,D,"Manufacturer's. A manufacturer's brand, also known as a national brand, is one that the manufacturer has assumed all the responsibility of branding. That means that the manufacturer plans to make all decisions regarding the use of that brand. A private brand, sometimes called a store brand, is a brand owned by an intermediary. What this means is that a supplier, such as Whirlpool, produces a product and places an intermediary's brand on it. In this instance, the products are household appliances, the intermediary is Sears, and the intermediary's brand is Kenmore. Family branding involves using the same brand for related products in a product line. One example of a family brand is Coach, as in Coach handbags and accessories. While each product in the Coach line is unique, they are all related and similar to each other in some ways as well. Rather than being part of a family brand, some products are individually branded. Individual branding involves using different brands for products owned by one company.",Product Management,8,easy
"Shay's Styles Unlimited uses testimonials from satisfied customers to attract new clients to the hair salon. In other words, Shay's Styles Unlimited uses __________ to position and build its brand.",internal feedback,employees,customer voice,celebrity endorsements,C,"Customer voice. A testimonial is a statement by a customer or other identified user of a product proclaiming the benefits received from using that product. Companies use testimonials to tailor their company image to their target market. A satisfied customer's positive review is one of the most valuable tools in a company's marketing arsenal. Testimonials lend credibility to a brand's reputation and draw in new clients to a company. Shay's Styles Unlimited isn't using employees, internal feedback, or celebrity endorsements for branding purposes. https://www.qualtrics.com/experience-management/customer/what-is-voice-of-customer/",Product Management,8,medium
"Phoebe's Fashion is a children's clothing boutique that specializes in high-end, brand-name products that are difficult to find in other retailers. Many of the clothing items that the store carries have been worn by the children of famous actors and sports stars. The boutique hopes that its customers associate the brand with elevated status and exclusivity. In other words, the boutique is using a __________ positioning strategy.",problem and solution,benefit/attribute,celebrity-driven,competitor-based,C,"Celebrity-driven. Brand positioning involves creating a certain image or impression of a brand as compared to those of competitors' brands. Companies position their products in a certain way to attract a specific target market and distinguish themselves from similar brands. There are a variety of methods for positioning a brand. Using celebrities or ""influencers"" is one effective method for brand positioning. In this example, Phoebe's Fashion used its popularity with celebrity children as a tool for positioning itself with its desired target marketâ€”parents willing to spend money on high-end, brand-name products. Benefit/Attribute positioning focuses on the company's core benefits that distinguish the brand from others. Problem and solution positioning involves positioning the company around a solution to a problem that its target market faces. Competitor-based positioning is positioning that places a company in contrast to a competitor. Retrieved September 11, 2019, from https://cultbranding.com/ceo/create-strong-brandpositioning-strategy/",Product Management,8,hard
"On his way to work every morning, Randy sees a billboard for a local law firm. The billboard is a(n) __________ for the law firm.",brand ambassador,attitude survey,customer touchpoint,center-of-influence,C,"Customer touchpoint. A customer touchpoint is any interaction between a business and a customer or a potential customer. A touchpoint can be as simple as a company advertisement or as significant as a customer calling a sales representative for product information. In this example, Randy noticing the billboard is an example of a customer touchpoint for the law firm, not an attitude survey, brand ambassador, or center-of-influence. An attitude survey is a written communication method in which employees are asked to express their feelings and opinions about their jobs and the company to management anonymously. A brand ambassador is an individual, usually an employee, who communicates the company's values, vision, and personality to those s/he has contact with. A center-ofinfluence is simply a dominant member of a group. 2019, from https://wotsthebigidea.com/identify-customer-touchpoints/",Product Management,9,easy
"To spread awareness of its commitment to sustainability, a large retail company partnered with an environmental nonprofit to run ""go-green"" advertisements. This is an example of __________ promotion.",secondary,product,primary,institutional,D,"Institutional. Institutional (or corporate) promotion does not attempt to sell a good or service. The primary goal of corporate promotion is to create a certain image of the company in the customers' eyes. This can be accomplished by informing customers about the company, its ideas, and its philosophy. An example of institutional promotion is informing customers of the company's interest in various social issues, such as the environment. The goal of product promotion, on the other hand, is to persuade customers to buy a particular good or service. Primary and secondary simply refer to different types of product promotion. Primary product promotion aims to stimulate demand, or desire, for an entire class of goods or services. Secondary, or selective, product promotion is used to stimulate demand for a specific brand of a product.",Promotion,9,hard
Which of the following activities is an example of a pull promotional strategy:,A dealer incentive,A merchandising allowance,A sales contest,A humorous television advertisement,D,"A humorous television advertisement. A pull strategy involves producers who promote their products directly to the ultimate consumer. A humorous television advertisement is effective in capturing the attention of ultimate consumers. They would then be interested in the product, creating demand for it from wholesalers and retailers. A merchandising allowance is a sales promotion offered to intermediaries. It is an example of a push strategy, rather than a pull strategy. A sales contest is a type of sales promotion that encourages salespeople to succeed by offering an incentive. It is a push strategy because it is not aimed at the ultimate consumer. A dealer incentive is a sales promotion that a manufacturer offers its intermediaries to prompt them to purchase and/or further promote the manufacturer's products to customers. It is an example of a push strategy because it is aimed toward intermediaries rather than ultimate consumers.",Promotion,9,medium
"During the past five years, the Produce Select grocery store chain has begun investing more money in social media campaigns and online ads and less money in traditional print advertisements. The company has found that today's customers are more likely to notice ads on their smartphones than in their mailbox. Produce Select has realized the impact of __________ on the promotion function.",technology,demographic changes,customer feedback,history,A,"Technology. Technological advancements such as the Internetâ€”along with the growing popularity of social media networksâ€”have greatly impacted how companies promote their brands and products over the past 20 years. It's no longer enough for companies to rely on print and television promotion alone. Customers are more connected to the digital world than ever, meaning that they are more likely to come into contact with a company online than through a newspaper or television set. In the example provided, the grocery store chain's investment in online ads demonstrates the impact of technology on promotionâ€” not demographic changes, customer feedback, or history, although those things may also impact a company's promotional efforts. from https://courses.lumenlearning.com/boundless-marketing/chapter/technology/",Promotion,9,hard
"After seeing a commercial for health supplements on TV, Jennie started taking extra vitamins every day without consulting her doctor. The commercial promised that Jennie would have more energy and sleep better, with no negative side effects. But after one week of taking the supplements, Jennie felt drowsy, bloated, and sick. It turned out that the vitamins were seriously hurting her digestive system and weren't meant to be taken on a daily basisâ€”which is what the commercial said to do! This example demonstrates the importance of",not trusting television commercials.,taking vitamins according to the instructions.,avoiding health supplements at all costs.,truthfulness in promotion.,D,"Truthfulness in promotion. Many countries have regulations governing promotion and advertising that require companies to be honest and transparent in their messages. As demonstrated in this example, dishonesty and lack of transparency in advertising can seriously harm consumers. Besides hurting customersâ€”and potentially losing their businessâ€”companies that aren't truthful in promotional messages often face legal consequences. It's important to take vitamins according to the instructions, but that is not specifically demonstrated in this example, since Jennie did in fact follow the commercial's instructions. It is not necessary to avoid health supplements at all costs or to lose complete trust in television commercials. However, consumers should always do their own research before trying out new products. https://www.ftc.gov/news-events/media-resources/truth-advertising",Promotion,9,hard
Which of the following is a form of broadcast media:,Television,Billboards,Magazines,Newspapers,A,"Television. Television and radio are examples of broadcast media. Broadcast media are considered â€œtimeâ€ media, as opposed to â€œspaceâ€ media, because their advertisements last only as long as they are on the air. A billboard is an example of out-of-home media, media that exist in the public sphere. Magazines and newspapers are publicationsâ€”materials that are printed on a regular basis.",Promotion,9,easy
"When Kaitlin walked into her local discount store, she wasn't sure exactly what she was going to buy; all she knew was that she needed shampoo. When Kaitlin noticed a sign advertising a new, chemical-free shampoo and conditioner set, she decided to try the brand and grabbed two sets. Kaitlin was influenced by a",product demonstration.,free-standing insert.,point-of-sale promotion.,business-to-business promotion.,C,"Point-of-sale promotion. A point-of-sale promotion is any display, sign, or other visible advertisement that is placed next to a product in a retail setting to draw customers' attention. Point-of-sale promotions are extremely powerful when customers are undecided about which product to purchaseâ€”or when they are simply browsing. The display described in the example is a point-of-purchase promotion, not a freestanding insert, a product demonstration, or a business-to-business promotion. A free-standing insert is an advertising leaflet or brochure that is inserted into a magazine, newspaper, or other publication. A product demonstration involves showing customers how a product works, generally in a retail setting. Business-to-business promotion is any promotional effort directed from one business toward another. 12, 2019, from https://www.thebalancesmb.com/what-is-a-retail-point-of-purchase-display2890206",Promotion,9,medium
"When a scandal involving a large bank's CEO became public, the bank's public relations team went into immediate action. The team released public statements, provided an information hotline for the media, and publicly apologized for the bank's involvement in the scandal. These public relations activities are forms of",community relations.,crisis management.,philanthropy.,media tours.,B,"Crisis management. Crisis management involves the ongoing managing, planning, and coordinating of resources in the event that undesirable circumstances occur. A scandal involving company leadership is an example of an undesirable circumstance that warrants immediate crisis management. Community relations, philanthropy, and media tours are other public relations activities, but they are not involved in this example. Community relations refers to a business or organization's efforts to create goodwill between it and the people in the community. Philanthropy refers to a company's charitable activities. A media tour is a trip taken by a company executive to meet with members of the press. September 12, 2019, from https://www.talkwalker.com/blog/pr-crisis-management",Promotion,9,hard
"The students in Jaclyn's advertising class were tasked with designing a print advertisement for a local business. When she showed her teacher her first draft, Jaclyn's teacher told her that the ad was too busy and distracting to the eye. One way that Jaclyn could improve her ad is by adding more",illustrations.,copy.,white space.,headlines.,C,"White space. White space is blank space in an advertisement that is unoccupied by text or illustrations. The proper use of white space is critical for designing eye-catching, effective advertisements. When white space is lacking, advertisements tend to be cluttered and distracting to look at. When white space is effectively used, the ad draws the eye of customers to the most important text and images. If Jaclyn's ad is too busy, one way she could improve it is by adding more white space. Adding more copy (text), illustrations, or headlines would simply make the ad even more cluttered. https://www.interaction-design.org/literature/article/the-power-of-white-space",Promotion,9,medium
"Kelly's Bake Shop recently hired an advertising agency to review the business's marketing strategies. The ad agency determined that the business's various promotional materials were disjointed and lacked a cohesive look and feel. As a result, customers were unsure what the brand really represented. Kelly's",color contrast,typography,white space,design consistency,D,"Design consistency. Design consistency refers to using the same colors, fonts, logos, and graphics in all of your advertising materials. Consistency is critical for advertising success because it builds a cohesive brand image in the minds of customers. A cohesive brand image will make customers more likely to remember your company. In the example, Kelly's Bake Shop failed to consider design consistency when planning its promotional materials, resulting in disjointed advertisements. Typography (the use of different font styles), white space (the strategic use of blank space), and color contrast are also important considerations when designing ads, but they are not specifically described in this example. advertising campaign. Retrieved September 13, 2019, from https://h2omediainc.com/consistency-key-frequency-vital-successful-advertising/",Promotion,9,hard
