Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
"Max set a financial goal of saving $2,000 in the next year. On a whim, Max saw a new video game that he wanted, so instead of putting a portion of his paycheck in his savings account, he used that money to purchase the game. What barrier is preventing Max from reaching his goal?",Impulsive spending,Overuse of credit,Unexpected needs,Loss of income,A,"Impulsive spending. Many situations can prevent individuals from reaching their financial goals. When people lose their jobs or need to get their cars fixed, their financial goals may be temporarily sidetracked. Overusing and repaying credit cards can also affect an individual's ability to achieve his/her financial goals. An individual who must pay off credit card debt has less money available to save and invest. In Max's situation, impulsive spending derailed his financial goals. He saw something that he wanted right away, so he bought it without thinking about the consequences. It will likely take Max longer to reach his savings goal. https://moneyfit.org/impulse-spending",Financial Analysis,6,medium
Developing a personal budget is an effective way to,pay bills.,manage money.,calculate assets.,increase debt.,B,"Manage money. A budget is an estimate of what income and expenses will be for a specific time period. By developing a budget, individuals can manage their money. The budget will enable them to estimate income, perhaps for the next month, and also estimate the various expenses such as car payment, clothing, entertainment, etc. Then, they will be able to compare income with expenses and plan how to spend their money. Preparing a budget will make it possible to determine if they are barely able to pay bills each month or if there are funds remaining to put in a savings account. If funds are tight, they can analyze the various expenses and find ways to cut back in order to more effectively manage their money. Developing a budget allows individuals to identify the bills that must be paid; however, a budget does not pay bills. A budget does not include a list of assets. Budgeting often helps individuals decrease debt by managing money more effectively. 20, 2020, from https://www.thebalance.com/reasons-to-budget-money-2385699",Financial Analysis,6,medium
"For a school project, Megan needs to calculate her net worth. Using the following information, help Megan determine her net worth.","$5,850","-$5,850","$5,650","$5,150",A,"$5,850. Subtract liabilities (credit card debt) from assets (car value, savings account, and computer value) to calculate net worth. ($6,000 + $250 + $100) - $500 = $5,850. http://www.schwabmoneywise.com/public/moneywise/essentials/goals_budgeting/personal_ net_worth",Financial Analysis,6,medium
Which of the following is an example of a payroll deduction:,Pay rate,Overtime hours,Net pay,Health insurance,D,"Health insurance. Payroll deductions are monies that an employer withholds from an employee's gross earnings. A large portion of the deductions is the various income taxes, which the employer pays to the government on behalf of the employee. Other deductions might include health insurance premiums, voluntary savings, and child-support payments. Net pay is the amount the employee receives in his/her paycheck after the deductions have been subtracted from the gross earnings. Gross earnings are income before deductions. Overtime hours are the number of hours an employee works over his/her regular schedule. Pay rate is the amount of pay a worker earns at a set interval (e.g., an hour). Retrieved July 20, 2020, from https://www.thebalance.com/payroll-deductions-1918223",Financial Analysis,6,easy
The primary reason that people review their personal credit reports is to,eliminate the risk of identity theft.,change or update their credit ratings.,ensure that they obtain bank loans.,verify that the credit agencies have correct information.,D,"Verify that the credit agencies have correct information. Credit is the arrangement by which individuals or businesses can purchase now and pay later. A credit agency is a business that maintains files of credit information on individuals and businesses. It is important to make sure that credit agencies have accurate information about your credit history because other businesses purchase the reports to make decisions about extending credit to you or providing a loan to you. Although people can provide information to improve their credit ratings, it is the credit agencies that change or update the information. Good credit reports can increase the chances of obtaining a bank loan, but reviewing the reports cannot ensure that people obtain bank loans. People who monitor their credit reports can reduce the risk of identity theft, but cannot eliminate the risk. 2020, from https://www.lifelock.com/learn-credit-finance-what-is-creditreport.html#:~:text=Regularly%20reviewing%20a%20credit%20report,and%20lending%20an d%20credit%20worthiness.",Financial Analysis,6,easy
How can a consumer find evidence of fraudulent credit accounts opened in his/her name?,Obtain his/her credit score from a credit bureau.,Review credit card statements for unauthorized activity.,Review credit reports for the creation of unauthorized credit accounts.,Contact his/her credit card company and ask if fraud has been detected.,C,"Review credit reports for the creation of unauthorized credit accounts. Since credit reports contain all of a consumer's credit activity, they can reveal any unauthorized use of credit. Credit scores are not immediately impacted by fraudulent activity since they are only updated once every 30 days. Credit card statements and credit card companies can only provide information about transactions made with them. 2020, from https://www.lifelock.com/learn-credit-finance-what-is-creditreport.html#:~:text=Regularly%20reviewing%20a%20credit%20report,and%20lending%20an d%20credit%20worthiness.",Financial Analysis,6,easy
One of the safest and most responsible ways to determine whether an expensive item you're interested in is worth the money is by,buying the item to see for yourself.,reading verified customer reviews.,contacting the company.,searching for other advertisements.,B,"Reading verified customer reviews. Customer reviews can be an excellent tool for determining whether to purchase a product or not. Reviews are often much more realistic and honest than product advertisements, since they are from unbiased sources. It would be unwise to purchase a product without reading customer reviews. Reading reviews can save you from being dissatisfied with your purchase, and can help you understand what to expect from a certain product or service. Contacting the company or viewing other ads will not necessarily help you determine whether information is reliable, since all information from a company is inherently biased. http://www.mappingdubois.org/importance-of-reading-reviews/",Financial Analysis,7,medium
Which of the following is often considered one of the safest types of investments:,Commodities,Penny stocks,Government bonds,Precious metals,C,"Government bonds. These bonds are issued by various levels of government, from the local to the national level. Government bonds are considered one of the safest types of investments because they are backed by the government. Although government bonds do not pay high interest rates, they are safe and a good investment for individuals who cannot afford to risk losing their investment. Penny stocks are very inexpensive, but their value can go up or down quickly. Commodities and precious metals are considered high-risk investments because of the fluctuations in price and value. Retrieved July 20, 2020, from https://www.thebalance.com/how-safe-are-u-s-treasuries417129",Financial Analysis,7,medium
Why is it important to start early when planning for retirement?,To take advantage of compounded interest,To beat inflation rates,To benefit from the time value of money,To ensure that protections are in place for retirement plans,A,"To take advantage of compounded interest. By starting early, you give your money time to grow by earning interest on interest that is added to the principal. Starting early does not help a person beat inflation rates if the investments chosen accrue less interest than the rate of inflation. The time value of money indicates that today's dollar is worth more than that same dollar a year from now due to inflation rates. Therefore, the time value of money is not a benefit for retirement planning. Starting early will not ensure that protections are in place for retirement plans. One such protection is diversification of investments. 2020, from https://www.investopedia.com/articles/personal-finance/040315/why-saveretirement-your-20s.asp",Financial Analysis,7,easy
What action can individuals take to reduce the cost of their health insurance coverage?,Make quarterly payments to the carrier,Increase the amount of their deductible,Increase the amount of their liability coverage,Enroll in the carrier's disability coverage,B,"Increase the amount of their deductible. By increasing the amount of their deductible, people accept more risk, thereby reducing the carrier's risk. This results in reduced monthly premiums for individuals. However, if the person uses health care services, s/he would have more out-of-pocket expenses than with a lower deductible. Making quarterly payments will not impact the cost of insurance coverage. Increasing the amount of liability coverage would increase a person's insurance costs; however, liability coverage is not an aspect of health insurance coverage. Enrolling in the carrier's disability coverage would increase a person's monthly costs. July 20, 2020, from https://www.insure.com/health-insurance/savings.html",Financial Analysis,7,easy
"As Justin is cooking, his sister reads the recipe directions to him out loud. Justin isn't sure if she said one teaspoon of vanilla or two. He gives her a puzzled look, and his sister reads the directions again. Which of the following steps for following directions does this situation illustrate:",Take notes,Accept responsibility,Acknowledge directions verbally or nonverbally,Eliminate distractions,C,"Acknowledge directions verbally or nonverbally. When Justin gives his sister a puzzled look so she knows he didn't understand her directions clearly, he is acknowledging her nonverbally. It's important to let the speaker know you hear and understand what s/he is saying by nodding your head or saying you understand. If you don't understand the directions, use your nonverbal signals to alert the person so s/he can clarify things for you. These signals include raising your hand, shaking your head, or even looking at the speaker with a puzzled look. In this situation, Justin is not taking notes, accepting responsibility, or eliminating distractions. from https://smallbusiness.chron.com/benefit-nonverbal-communication-business2831.html#:~:text=Nonverbal%20communication%20can%20increase%20the,to%20convey %20consistency%20and%20trustworthiness.",Communication Skills,7,hard
"The Apex Company is a large, growing company with finance, accounting, operations, and sales departments. The company needs additional outside funding to pay for new buildings and equipment. What business department is responsible for ensuring the monies are available when needed?",Sales,Accounting,Operations,Finance,D,"Finance. When a business needs outside funding, it typically relies on its finance department to obtain the monies. A company's finance department is responsible for money management decisions, including obtaining the financing and capital needed to run a business. Accounting ensures that a company has accurate information about its current financial situation. A sales department is responsible for meeting company sales' goals. Operations is responsible for the effective use of a company's available resources to conduct business activities.",Financial Analysis,7,hard
Which of the following is a compliance issue:,Performance management,Conflict mediation,Car-pool organization,Minimum wage,D,"Minimum wage. Minimum wage is controlled by law; therefore, it is a compliance issue for companies. Conflict mediation and car-pool organization are tasks that fall under the HR management activity of employee relations. Performance management is a task that falls under the HR management activity of training and development.",Human Resources Management,7,medium
Which of the following is part of the product/service management function:,Getting products from producers to customers,Deciding on the products that a business will produce or order,Informing customers about new and improved products,Conducting research to find out as much as possible about customers,B,Deciding on the products that a business will produce or order. The product/service management function involves deciding on the products that a business will produce or order. It is important because a business must offer the products that customers want and need to be successful. Getting products from producers to customers is part of the channel management function. Informing customers about new and improved products is part of the promotion function. Conducting research to find out as much as possible about customers is part of the marketing-information management function.,Marketing,7,easy
Heather is writing a report about a controversial issueâ€”the death penalty. Which of the following sources is a good choice for Heather's research:,A blog post from a professor of economics at Harvard,A press release from a group of anti-death penalty activists,An article from a 1995 edition of the New York Times,An article from the current issue of Time magazine,D,"An article from the current issue of Time magazine. When Heather chooses resources, she needs to pick articles from reputable sources. Time magazine is a respected publication that has many editors and fact checkers, so Heather can be reasonably sure that the information contained in the magazine will be accurate. The article has also been published recently, so it likely won't contain any out-of-date information. Heather should avoid using press releases. Press releases usually have an agenda to promote, so they are biased. To write a well-rounded paper, Heather should stick to articles that are free of bias or agenda. While the New York Times is a well-respected newspaper, Heather should avoid reading an article from 1995. An article that old may present outdated figures and facts about the death penalty. Although a professor from Harvard would generally be a good source, a professor of economics isn't necessarily an expert on the death penalty. Also, Heather should be wary of using blogsâ€”this blog may belong to the university, but it may just be the professor's personal opinions. Retrieved July 20, 2020, from https://edu.gcfglobal.org/en/digital-media-literacy/judgingonline-information/1/",Information Management,7,easy
"Irene has always kept and filed every piece of paperwork she receives. When she needs to find a specific document for her boss, Irene wastes hours looking through her filing cabinets before she finally finds it. What should Irene do to make her filing more efficient?",Create a system and keep only what she needs.,Store all of her documents virtually online.,Hire a new employee to handle her files.,"Purge her old documents, throwing everything away.",A,"Create a system and keep only what she needs. Irene may think she's playing it safe by keeping every single piece of paperwork, but she's actually making her job much harder. When she keeps everything, it's more difficult to find the things she actually needs. This leads to frustration and wasted time. Irene should create a system to decide what she actually needs to keep and then toss all other documents. Although Irene may want to consider storing her documents virtually instead of physically, this wouldn't necessarily help her become more organized. While virtual storage wouldn't take up physical space, Irene could still waste just as much time searching through a mess of documents if she insists on saving everything. Irene doesn't need to hire a new employee to handle the filing; instead, creating a system will make Irene's files easier to use. Irene should resist purging all of her old documentsâ€”there are many things she'll need to keep, both for practical and legal reasons. https://www.mindtools.com/pages/article/newHTE_85.htm",Information Management,7,easy
Information management should ensure that information is,inaccessible.,abundant.,pleasant.,retrievable.,D,Retrievable. Information management should ensure that information is retrievable. This means that people who need it can access it when necessary. Information management does not and cannot ensure that information is abundant or pleasant. Information should be inaccessible only to those who shouldn't be able to see it.,Information Management,8,medium
"Payroll, hotel reservations, and sales orders are handled by a(n) __________ type of information system.",executive support system,knowledge work system,decision support system,transaction processing system,D,"Transaction processing system. This is a computerized information system that processes daily, routine business transactions at the operational level of companies. Knowledge work systems aid knowledge workers in the creation and integration of new knowledge into companies. Their purpose is to improve worker productivity. Decision support systems aid managers in making decisions that are unique and rapidly changing. Executive support systems are reporting tools that enable managers to turn a company's data into useful reports. from http://www.techopedia.com/definition/707/transaction-process-system-tps",Information Management,8,medium
An electronic planning device that many employees use to keep track of their activities is an example of a,presentation application.,communication system.,web-based program.,time-management tool.,D,"Time-management tool. Many employees keep track of their activities and organize their daily schedules by using an electronic planning device. This device is a time-management tool because it allows employees to plan their activities to be the most productive. Employees can enter information about future projects, deadlines, meetings, etc., and plan the best use of remaining time. An electronic planning device is not an example of a communication system, a web-based program, or a presentation application. 2020, from http://www.lifehack.org/articles/technology/top-15-time-management-apps-andtools.html",Information Management,8,medium
Which of the following is an example of a â€œstopâ€ word that a search engine is most likely to ignore when retrieving query results:,Hat,Cop,Sew,The,D,"The. Words such as ""a,"" ""for,"" and ""the"" are stop words, which are commonly used words that do not always add meaning to the primary search terms. For example, if the words, ""the Pittsburgh Steelers"" were entered in the query field, the word ""the"" would most likely be ignored by the search engine, which would focus on the words, ""Pittsburgh Steelers."" However, there are exceptions to every rule. For example, the query ""WHO"" is likely to bring up results that contain information about the World Health Organization. If ""the"" is placed before ""WHO"" in the query, results are most likely to bring up information about the musical group, The Who. ""Cop,"" ""sew,"" and ""hat"" are less likely to be ignored when entered into a search engine query. https://www.webopedia.com/TERM/S/stop_words.html",Information Management,8,easy
An upscale department store tracks customer purchases made with store credit cards and then tailors promotional messages and merchandise offers to specific clients based on their purchases. What software allows the retailer to manage this strategy?,Spreadsheet,Word processing,Database,Systems tools,C,"Database. Database software allows companies to collect, store, and organize customer information. This information can be used to maintain, analyze, and combine customer information in order to send certain messages to specific customers. Spreadsheet and word-processing software do not perform the functions required by the retailer. Systems tools are used to maintain the computer. https://www.webopedia.com/TERM/D/database_software.html#:~:text=Database%20softwar e%20is%20the%20phrase,the%20information%20stored%20in%20them.&text=Database%2 0software%20is%20used%20for,running%20your%20online%20Web%20site.",Information Management,8,medium
Which of the following is an example of an integrated software application:,SMS,Java,Point-of-sale,URL,C,"Point-of-sale. There are many point-of-sale software applications that enable businesses to perform a variety of functions beyond the point of sale. Some of these functions include placing orders, controlling inventory, placing special orders, etc. SMS is an abbreviation for short messaging service and is used to send text messages on a variety of cell phones. Java is a computer-programming language. URL or uniform resource locator is the website's web address. 2020, from https://www.softwareadvice.com/resources/what-is-a-point-of-sale-system/",Information Management,8,medium
"When creating your business's web page, you make it possible for Internet browsers to identify and locate various elements of your page through the proper placement of",HTML.,hyperlinks.,meta tags.,ASCII.,C,"Meta tags. Meta tags are HTML codes that display information about web pages. HTML, or Hypertext Markup Language, is the program used for creating pages on the World Wide Web. It uses tags placed in strategic places to help the browser identify and locate various elements of the web page. ASCII, or American Standard Code for Information Interchange, is plain text from which the HTML document is usually created. The browser moves from one place to another within the page or to another site by means of a hyperlink. 2020, from https://seo-hacker.com/what-are-meta-tags-and-why-are-they-important/",Information Management,8,easy
A primary purpose of data mining is to,develop services.,stabilize sales.,discover relationships.,summarize ideas.,C,"Discover relationships. Data mining is the process of searching computer databases for patterns of information and correlations or relationships among information. Businesses use the information they obtain from data mining to make different types of business decisions. For example, a business might want to increase its sales. The business might use data-mining techniques to determine and analyze which customers possess the highest buying potential. The primary purpose of data mining is not to stabilize sales, develop services, or summarize ideas. https://www.investopedia.com/terms/d/datamining.asp#:~:text=Data%20mining%20is%20a% 20process,increase%20sales%20and%20decrease%20costs.",Information Management,8,easy
"When operating machinery in the workplace, employees can reduce the risk of injury to themselves and damage to the machinery by",reading the appropriate promotional materials.,following the manufacturer's operating instructions.,performing maintenance activities themselves.,requesting a trained supervisor to operate the machinery.,B,"Following the manufacturer's operating instructions. Machinery can be dangerous to operate, so businesses should make sure that the employees who operate the machinery receive training according to the manufacturer's instructions. In some situations, the manufacturer will provide the training. Reading promotional materials will not provide employees with adequate training to operate complex machinery. Unless they are properly trained, employees should not perform maintenance activities on machinery. If the machinery is not handled appropriately, employees could be seriously injured and the machinery could be damaged. If some of the employees' responsibilities are to operate the machinery, then the supervisors' jobs should ensure that employees operate the machinery properly, rather than operate it themselves. from http://ehs.unl.edu/sop/s-gen_machine_safety.pdf",Operations,8,easy
Determine whether the following statement is true or false: Employees must be taught how to use equipment properly and the potential dangers of not doing so.,True; well-trained employees always use safety precautions.,False; employees know which equipment is dangerous and which is not.,True; the business is responsible for creating a safe work environment.,False; employees understand the hazards of misusing equipment.,C,"True; the business is responsible for creating a safe work environment. When there is potentially dangerous equipment in the workplace, employees should be instructed in the safe use of the equipment and the potential danger to themselves and others of not doing so. Even when such training is given, employees may become careless or forget to use safety precautions. It is not always obvious that equipment can be hazardous. 2020, from https://simplifiedsafety.com/blog/how-to-create-a-safe-working-environment/",Operations,8,easy
Which of the following is a way for employers to prevent recordkeeping or payroll fraud:,Require sales staff to observe customers on the selling floor,Provide procedures for the personal use of office supplies,Divide cash-related responsibilities among different employees,Train salespeople to be familiar with prices,C,"Divide cash-related responsibilities among different employees. Employers generally divide up cashrelated responsibilities among employees so that one employee checks the records of another. This reduces the possibility that a dishonest employee can steal by changing the cash records. Training salespeople to be familiar with prices is a technique that helps reduce price-ticket switching. Providing procedures for the personal use of office supplies will help reduce pilferage. Requiring sales staff to observe customers on the selling floor will help prevent shoplifting. preventing. Retrieved July 20, 2020, from https://www.paychex.com/articles/payrolltaxes/payroll-fraud-it-can-happen-to-any-business",Operations,9,easy
Which of the following restaurant assets would be considered intangible:,The waiter's uniforms,An expensive oven,The building,A secret recipe,D,"A secret recipe. An intangible asset is one that's not physical. For example, intellectual property, trade secrets, customer lists, and business plans are all intangible assets. Even though intangible assets aren't physical, they're sometimes the most valuable thing a company owns. A secret recipe may be what differentiates one restaurant from another. Ovens, buildings, and waiter's uniforms are all tangible, physical business property. http://definitions.uslegal.com/i/intangible-asset/",Operations,9,medium
"To establish weekly work priorities, employees should consider developing a list of",routinely performed tasks.,critical activities.,short-term accomplishments.,long-term goals.,B,"Critical activities. Critical activities are the most important tasks to do and often need immediate attention. These tasks might involve solving a customer's problem or preparing a report for a spur-of-the-moment meeting. Listing critical activities often helps employees prioritize and plan their work, which can help them achieve their deadlines. Routine tasks, such as checking email, are performed on a regular basis and often do not require a lot of time or thought. Accomplishments are things that have been achieved. Long-term goals are objectives that will take a year or more to reach. http://work.chron.com/determine-workplace-priorities-17470.html",Operations,9,medium
Which of the following is most likely to affect a project's planning process:,Advertising,Employee benefits,Hiring procedures,Budget,D,"Budget. The amount of money you have available determines what you can and cannot do. If you plan to do more than you can afford, your project likely won't succeed. You might run out of funds before the project is complete. Employee benefits, hiring procedures, and advertising are not as likely to affect a project in the planning stages.",Operations,9,easy
Which of the following is a corrective action you could take if your project has derailed:,Refocusing scope,Risk tracking,Project failure,Stakeholder management,A,"Refocusing scope. Once you've identified areas where you need improvement, you will have to take corrective actions to get your project back on track. An example is refocusing the scope of your project. Project failure, risk tracking, and stakeholder management are not types of corrective actions to take if your project has derailed. Actions)",Operations,9,easy
Arnie needs to buy printer toner and copy paper from the company's office-supply vendor. What is the first step that Arnie should take?,Submit a receipt,Request an invoice,Prepare a purchase order,Complete an expense form,C,"Prepare a purchase order. Arnie needs to prepare a purchase order, which is the form that a business (buyer) fills out to order goods from a vendor (seller). The purchase order typically contains information such as the item's description, part number, quantity, price, and the company's shipping and billing addresses. An invoice is an itemized statement of money owed for a good or service and is generated by the vendor (seller). A receipt is an acknowledgement of the sale and transfer of goods and services, and is typically provided by the seller to the buyer in consumer retail transactions. Employees complete expense forms so their employers can reimburse them for business-related out-of-pocket expenses. from https://smallbusiness.chron.com/purchase-order-work-40933.html",Operations,9,easy
"Why does Dan order extra copy paper, Post-it notes, and printer ink cartridges for the department when he places an order for office supplies?",To meet minimal expectations,To ensure product quality,To prevent stockouts,To reduce the need to forecast,C,"To prevent stockouts. Safety stock or buffer stock are extra items ordered to prevent stockouts. When supplies are out of stock, the employees do not have the tools to perform their jobs. Many businesses have policies to order a certain level of extra items to avoid stockouts. Ordering extra supplies will not ensure product quality or reduce the need to forecast usage. Dan would only order exactly what is needed if he were ordering to meet minimal expectations. https://www.accountingcoach.com/blog/what-is-safety-stock",Operations,9,medium
"A business that produces products for which there is a steady, predictable demand for large quantities is most likely to use which of the following production processes:",Continuous,Intermittent,Unit,Batch,A,"Continuous. A continuous production process is one that turns out products without stopping. The process is used by businesses that make such products as soft drinks that are in steady demand by consumers and can be held in stock as necessary. An intermittent production system is shut down from time to time for various reasons, such as a decline in demand or an oversupply of stock. A batch production process produces specific quantities of a product as needed (e.g., restaurant entrees). A unit production process focuses on producing one or a few products at a time.",Operations,9,medium
Owen and his lawyer have an agreement that protects the sensitive information that Owen shares.,confidentiality.,security.,privacy.,transparency.,A,"Confidentiality. Confidentiality refers to the agreement of an individual or party not to share the sensitive information of another individual or party. Most lawyers have confidentiality agreements with their clients that protect the sensitive details of the clients' cases from being shared with others. While similar to confidentiality, privacy and security differ in important ways. Privacy is the right of an individual to keep his/her information to him/herself, while security is the protection of sensitive data or items that are housed in a database or other storage facility. Transparency refers to openness or honesty. This example best describes a confidentiality agreement. Retrieved July 20, 2020, from https://work.chron.com/meaning-confidentiality-workplace21886.html",Operations,9,easy
"Betty is hard working, but she often comes to work in clothes that are spotted or wrinkled. Which of the following is the most likely reason why Betty has never been promoted?",Job attitude,Lack of skill,Personal appearance,Interpersonal relationships,C,"Personal appearance. Employers are interested in workers who can display a positive impression of their company to others. This is reflected in appropriate grooming, health, and dress. Betty's poorly maintained clothing shows her lack of pride in herself and the company. Promotions go to people who not only consistently do the job but look the part. Betty's job attitude and skills are acceptable since she is described as hard working. Her ability to get along with others was not discussed.",Professional Development,9,easy
Which of the following is a short-term goal:,A salesperson wants to get five new clients this week.,A student wants to earn a bachelor's degree.,A new employee wants to become president of the company.,A culinary student wants to open her own restaurant.,A,"A salesperson wants to get five new clients this week. Short-term goals are objectives that take less than a year to achieve. The salesperson plans to get five new clients this week, so this goal is short term. Long-term goals are objectives that take a year or more to reach. It would take a year or more to earn a bachelor's degree, become president of a company, or open a restaurant.",Professional Development,10,easy
Which of the following is a category of innovation:,Psychological,Product,Piloting,Physical,B,"Product. Product innovation occurs when a business either creates or improves a product. Other types of innovation include process, positioning, and paradigm. Psychological, piloting, and physical are not types of innovation.",Professional Development,10,easy
The manager asked a few staff members for their opinions about what color to paint the office reception area. What decision-making style did the manager use in this situation?,Moderate input,Minimum input,Autocratic,Laissez faire,A,"Moderate input. When the decision maker asks for some help during the decision-making process, s/he is obtaining moderate input. When the decision maker makes a decision without any help, s/he is using the minimum-input decision-making style. Autocratic and laissez faire are leadership styles. The autocratic leadership style is a dictatorial leadership style in which the leader relies on her/his positional authority within the organization to ensure that closely supervised employees do exactly as they are told to achieve required results. Laissez faire is a hands-off leadership style in which the leader assumes little or no responsibility and allows employees to determine their own work behavior and productivity level.",Professional Development,10,easy
Why is it important to select an occupation that matches your aptitudes?,Selecting a career based on your aptitudes will require less time in college.,Matching aptitudes to careers leads to the highest possible income.,A positive aptitude will allow you to succeed in any career.,Considering your aptitudes will make achieving your career goals realistic.,D,"Considering your aptitudes will make achieving your career goals realistic. An aptitude is your potential for learning a skill. It is similar to having a knack for something. Pursuing a career in an area that comes naturally to you will make it more realistic to achieve your career goals. Though matching aptitudes to a career is likely to lead to career success and satisfaction, it does not consider income. Aptitudes are neither positive nor negative. Each person has a different set of aptitudes. Time spent in college is not necessarily affected by aptitude. As an example, although a person has an aptitude for medicine, s/he must still complete college and medical school. Retrieved July 20, 2020, from https://www.thebalance.com/what-is-aptitude-526175",Professional Development,10,easy
"Administrative support, operations management, and human resources management are types of __________ careers.","agriculture, food, and natural resources",government and public administration,"science, technology, engineering, and mathematics",business management and administration,D,"Business management and administration. The business management and administration career cluster includes careers in administrative support, business information management, general management, human resources management, and operations management. The government and public administration career cluster includes careers such as foreign service, national security, and governance. The science, technology, engineering, and mathematics career cluster includes careers in science, technology, engineering, and mathematics. The agriculture, food, and natural resources cluster includes careers in areas such as animal systems, natural resources systems, and agribusiness. career cluster? Retrieved July 20, 2020, from https://www.aeseducation.com/what-is-thebusiness-management-administration-careercluster#:~:text=The%20Business%20Management%20and%20Administration%20career%2 0cluster%20is%20a%20national,an%20effective%20and%20productive%20business.",Professional Development,10,hard
Which of the following statements regarding job applications is true:,You should never include personal information that is inaccurate.,You do not need to disclose any felonies you have been convicted of.,It's okay to omit a previous job if you left on bad terms.,Job applications require you to have a cosigner if you are under 18.,A,"You should never include personal information that is inaccurate. It is important to be completely honest and transparent when filling out job applications. Besides being unethical, lying on a job application can lead to serious consequences. If your employer finds out that you included false information on its job application, you will likely be firedâ€”and have trouble finding jobs in the future. Most employers ask applicants to disclose whether they have been convicted of any felonies in the previous five years. It is not okay to omit any previous felony convictions, nor is it okay to omit a previous job if you left on bad terms. Job applicants that are under 18 usually need to obtain a work permit to apply for jobs. They do not typically need a cosigner on applications. July 20, 2020, from https://www.thebalance.com/information-required-to-complete-a-jobapplication-2061573",Professional Development,10,medium
Which of the following would most benefit from a customer service mindset that helps reduce complaints and increase profits:,Businesses,Employees,Customers,Competitors,A,"Businesses. Reduced complaints, repeat business, and greater profits are normally the results of having a customer service mindset. Benefits to the employees may include promotions or raises. Benefits to the customers would include having a more satisfactory experience with the business. Competitors would not benefit from another business practicing a customer service mindset.",Customer Relations,10,easy
Which of the following are the best references to list in a rÃ©sumÃ©:,Coworkers,Family members,Former employers,Classmates,C,"Former employers. The reference section of a rÃ©sumÃ© should list two or three people who can provide information about you. The best references are former employers, because they can accurately describe your work habits, abilities, and attitudes toward the job. Prospective employers will want to contact these references to find out if you performed satisfactorily in former positions. Potential employers usually do not want to contact your classmates, family members, and coworkers because they are personal references who may be unable to provide unbiased information about you. https://www.thebalancecareers.com/should-you-include-references-on-your-resume2062976",Professional Development,10,easy
What do many businesses provide their employees to encourage them to continue their education to gain additional skills and knowledge?,Discretionary income,Workers' compensation,Expense account,Tuition reimbursement,D,"Tuition reimbursement. Most businesses encourage their employees to continue their education in order to keep up with new technology and procedures. The businesses realize the value of having employees who are well trained and up to date. One way that businesses promote continuing education is by offering tuition reimbursement programs that pay the cost of the courses that employees take. Usually, employees who take and pass courses that are related to their jobs are reimbursed for the amount of tuition. Workers' compensation is insurance purchased by employers to provide benefits to workers who are injured on the job. Discretionary income is the amount of income people have left to spend or dispose of after they have paid their taxes. An expense account is an arrangement between an employee and the employer in which the employee keeps track of business-related expenses and reports them to the employer for reimbursement. Retrieved July 21, 2020, from https://www.investopedia.com/ask/answers/011915/what-aresome-examples-common-fringebenefits.asp#:~:text=Another%20common%20fringe%20benefit%20is,their%20education%2 0and%20work%20obligations.",Professional Development,10,medium
"Jayne Jacobs is the assistant sales manager for Progressive Electronics. Using a hierarchical chain of command, Jayne is most likely to report to","Tom Mitchell, vice president of operations.","Paula Cardenas, vice president of sales.","Mark Peterson, sales manager.","Marjorie Lazarus, customer service supervisor.",C,"Mark Peterson, sales manager. The chain of command defines the level of authority and the specific individual who supervises particular employees. Businesses often define their levels of authority by business function such as finance, operations, marketing, etc. In the question stem, Jayne Jacobs is an assistant sales manager; therefore, she most likely reports to the sales manager. The sales manager most likely reports to the vice president of sales. An assistant sales manager is unlikely to report to the customer service supervisor or the vice president of operations. business. Retrieved July 20, 2020, from https://smallbusiness.chron.com/importancefollowing-chain-command-business-23560.html",Professional Development,10,medium
Which of the following is an example of a regulation:,Your state passes a ban against texting while driving.,The USDA sets standards for organic food.,A judge rules that a prosecutor violated a defendant's rights.,Congress passes educational reform.,B,"The USDA sets standards for organic food. Regulations are standards and rules that dictate how laws will be enforced. Regulations are created by government agencies, such as the USDA. A state ban against texting while driving is a law, not a regulation. A judge's ruling is common law, not regulation. Educational reform passed by Congress is law, not regulation. Regulations)",Business Law,1,easy
"Brandon has been given a 385-page report and does not have time to review the entire document, but he does need to understand specific information that is included in the report. What section of the report will guide Brandon to the information he needs?",Bibliography,Table of contents,Appendices,Analysis,B,"Table of contents. When trying to locate specific information from a lengthy document or a book, it often saves time to first look at the table of contents. The table of contents is the portion of the text in which the sections are listed with their page numbers for easy access. For example, if Brandon wants to obtain information about industry trends, he can look at the table of contents, find the section that discusses trends, and turn to the designated page of the document to read the desired information. The bibliography contains the citations, or sources used to construct the primary document. The appendices are the segments added to the end of the primary document that include supporting information. Some research reports contain an analysis of the document's contents or research. By looking at the table of contents, the reader can determine if the desired information is included in the appendices or analysis sections of the report. 2020, from https://penandthepad.com/ideals-harlem-renaissance-writers-promote8427932.html",Communication Skills,1,medium
