Question,A,B,C,D,Correct,Explanation,Finance,Assessment,Difficulty
"If the dividend per share on a securities table is blank, it indicates that the company's stock",had zero trades in the last 24 hours.,has a negative dividend yield.,has a net change value of zero.,does not currently pay dividends.,D,"Does not currently pay dividends. The dividend per share indicates the annual dividend payment per share, and a blank indicates the company does not currently pay out dividends. A negative dividend would suggest that shareholders pay dividends to the company, which typically does not occur. The number of trades that have occurred in the last 24 hours is the trading volume listed on a securities table. Net change refers to the dollar value change in a stock price from previous day's closing price and is represented as a positive or negative value in the net change column on a securities table. https://www.investopedia.com/terms/d/dividend-per-share.asp",Financial Analysis,5,medium
Ethical accounting professionals avoid conflicts of interest by,authorizing changes.,exhibiting biased attitudes.,encouraging collaboration.,behaving independently.,D,"Behaving independently. Ethics are the basic principles that govern an individual's behavior. In the field of accounting, ethical standards serve as a guide for professional conduct. Accountants prepare the financial information that businesses use to make financial decisions, so it is important for them to uphold the ethical standards of their profession. Accountants must be objective and honest. Being objective involves not being influenced by bias, prejudice, or outside opinion, which is acting independently. Therefore, to uphold professional ethics, accountants should avoid situations that might be considered a conflict of interest, such as auditing a family member's financial records. Authorizing changes to something does not always involve a conflict of interest. https://corporatefinanceinstitute.com/resources/knowledge/accounting/accountingethics/#:~:text=Ethics%20and%20ethical%20behavior%20refer,governing%20bodies%20of %20chartered%20accountants.",Financial Analysis,5,medium
Why would a bank examine a business's balance sheet?,To meet its oversight responsibilities of the business community,To determine whether to declare the company bankrupt,To determine whether the company qualifies for additional credit,To recognize its most profitable customers,C,"To determine whether the company qualifies for additional credit. By examining the balance sheet, banks determine what a business owns as well as what it owes. If the business does not have sufficient assets, the bank will probably avoid loaning it money. Businesses, not banks, declare themselves in bankruptcy. Banks do not have oversight responsibilities of the business community. A bank would examine a company's income statement to determine profitability. https://www.accountingcoach.com/balance-sheet/explanation",Financial Analysis,5,easy
"When preparing a statement of changes in an owner's equity document, which of the following are specifically represented on the statement:",Property taxes paid by the owner,New investments by the owner,Depreciation of company assets,Lost revenue due to discharged debt,B,"New investments by the owner. New investments or withdrawals by the owner are specifically represented on a statement of changes in an owner's equity document, as well as the business's net income or loss. Property taxes, depreciation of company assets, and lost revenue are considered when determining net income or loss, but they are not specifically listed on the statement of changes in an owner's equity document. https://www.accountingtools.com/articles/statement-of-owners-equity.html",Financial Analysis,6,hard
A new employee left JRB Manufacturing two weeks after s/he completed the company's training program. The expense of training the new employee is a(n) __________ for the company.,sunk cost,external cost,current asset,capital liability,A,"Sunk cost. Sunk costs are costs that are incurred and cannot be recovered. In the situation described, the business spent money to train an employee who quit shortly thereafter. The business will not be able to recoup the training costs because the employee is no longer there to perform the work that s/he was trained to do. Training is an internal cost. Current assets include things such as inventory, cash, accounts receivable, etc. A capital liability is the responsibility incurred when purchasing a capital asset such as a building or a piece of equipment. This often involves borrowing a large amount of money to obtain the asset. sunk cost, differential cost, etc.) https://www.accountingtools.com/articles/what-is-a-sunk-cost.html",Financial Analysis,6,hard
"Alex works at a manufacturing plant. His company wants to determine whether it would be financially wise to add a new production line, so Alex does some research. He decides to analyze the costs and benefits of manufacturing additional products. This type of analysis is known as",marginal analysis.,SWOT analysis.,a product road map.,a process flow diagram.,A,"Marginal analysis. Marginal analysis is a decision-making tool that can help companies see the benefits and costs of a particular activity. Marginal analysis involves examining the additional benefits of an activity and comparing those benefits to the additional costs of engaging in that same activity. By completing marginal analysis, companies can determine the best course of action to take. SWOT analysis stands for strengths, weaknesses, opportunities, and threats. Businesses use SWOT analysis to determine what they can improve on or take advantage of to increase their chances of success. A product road map outlines the development of a new product from start to finish. A process flow diagram is generally used in engineering to map out various technical processes. https://www.investopedia.com/terms/m/marginal-analysis.asp",Financial Analysis,6,hard
A managerial accountant can help a company market its products by,developing a target market analysis.,determining whether to make or buy a component.,examining the relevant costs of advertising options.,creating a budget for hiring increases.,C,Examining the relevant costs of advertising options. Managerial accountants can use techniques such as relevant cost analysis to assist marketers in making decisions regarding advertising options. They can determine which will have the lowest and highest costs. Determining whether to buy or make a component is not necessarily a marketing decision. Developing a target market analysis would generally not be a task for a managerial accountant. Creating a budget for hiring increases is not directly related to marketing products.,Financial Analysis,6,medium
Why is it important to determine the root cause of variances?,To increase sales,To figure out where to allocate costs,To make the appropriate adjustments,To weigh costs vs. benefits,C,"To make the appropriate adjustments. Determining the root cause of a variance in the budget helps determine what adjustments need to be made. If the true root cause is not identified, it will be difficult to make the right adjustments needed to be more successful. Determining the root cause of variances does not necessarily help figure out where to allocate costs, increase sales, or weigh costs vs. benefits. 2020, from http://smallbusiness.chron.com/role-variance-analysis-businesses-22641.html",Financial Analysis,6,easy
Budgets are important to the management process because they,help determine roles and responsibilities.,shift focus from future events to daily issues.,ensure that organizational goals come before personal goals.,remove the possibility of financial constraints.,A,"Help determine roles and responsibilities. Budgets can be used to determine employees' responsibilities and measure performance so that resources are used wisely. Budgets do not shift the focus from future events to daily issues; in fact, they encourage organizations to focus on both the big and small pictures. Budgets also do not necessarily put the focus on organizational goals over personal goals; rather, they try to allow both sets of goals to align. Finally, budgets do not remove the possibility of financial constraints altogether, but they allow organizations to recognize constraints before they become problematic. https://www.principlesofaccounting.com/chapter-21/budgets/",Financial Analysis,6,easy
"A company buys a new water cooler. In the company budget, it divides the cost of the water cooler between the departments that use it. This is known as cost",combination.,divination.,allocation.,activation.,C,"Allocation. In cost allocation, a cost is divided between several cost objects. In this example, a company allocates the cost of a new water cooler to several different departments. This is not considered cost divination, combination, or activation. http://www.accountingcoach.com/blog/what-is-cost-allocation",Financial Analysis,6,hard
"Julie's grandparents have offered to give her a $1,000 gift at either the beginning or end of college. Why should she take the gift at the beginning of college?",She will pay fewer taxes before she begins college.,Inflation will increase the value over time.,She can start earning interest sooner.,She shouldn't; she should wait until after college.,C,"She can start earning interest sooner. If Julie were to wait until after college to accept the gift, she would miss out on four years of interest payments that she could be earning. Therefore, she should accept the gift as soon as possible so that she can maximize her interest returns. Inflation does not increase the value of money over time; rather, it decreases the value. Julie will not necessarily pay fewer taxes on the gift before she begins college; taxes are dependent on many other factors. 2020, from http://www.investopedia.com/articles/03/082703.asp",Financial Analysis,6,hard
Which of the following statements regarding the financial-information management function is true:,Data in a financial-information management system are typically at least four-to-six months old.,"The financial-information management function is an electronic, web-based activity.",The financial-information management function's responsibilities have declined in recent years.,A financial-information management system can be used to support operations management decisions.,D,"A financial-information management system can be used to support operations management decisions. Operations managers might use a financial-information management system to determine operating efficiency, manage inventory, or evaluate key suppliers. Although technology is an integral part of financial-information management function, it is not the only part. The financial-information management function involves people, processes, and equipment/technology. Due to increased compliance requirements, the financial-information management function's responsibilities have increased in recent years. Much more data must be maintained by the financial-information management system for longer periods of time as a result of new laws and regulations. Data in a financial-information management system should be current. In many situations, decision makers need to know what is happening right now, not what happened months or even years ago. information system? Retrieved July 10, 2020, from https://smallbusiness.chron.com/benefitsfinancial-management-information-system-71943.html",Financial Management,6,hard
"To protect the integrity of archived financial information, businesses might consider using different types of",storage strategies.,service procedures.,monetary exchanges.,production methods.,A,"Storage strategies. Businesses are legally required to keep certain types of financial information for a specific period of time. Because many businesses must keep a large amount of financial information, they must consider how to archive, or store, historic information. Businesses often store information on magnetic or optical tapes and disks or a combination of different methods. Because technology is evolving, the types of storage options change, so businesses must keep up with the technology. It is important to keep up with technology because businesses must be able to retrieve archived records in formats that are readable and usable at any given time. Service procedures, monetary exchanges, and production methods will not protect the integrity of archived financial information. https://www.finance.ucla.edu/corporate-accounting/principles-of-data-integrity",Financial Management,6,medium
What is a benefit to businesses of using a central data repository for financial information?,Reliance on historical data,Quick response to complex queries,Focus on low volumes of data,Reliance on a single software application,B,"Quick response to complex queries. A central data repository is a centralized database that businesses use to maintain, update, and store large amounts of financial data throughout their organizations. The benefits to businesses of using a central data repository include quick response to complex queries, accessibility to consistent data, economies of scale, and accessibility by several different software applications. A central data repository contains both current and historical data. from https://www.teleoinc.com/benefits-of-a-central-datarepository/#:~:text=A%20central%20repository%20offers%20trustworthy,as%20standardized %20across%20departmental%20databases.&text=Data%20integration%20and%20collabora tion%20also%20reduces%20and%20in%20most%20cases%20eliminates%20redundancies.",Financial Management,7,hard
"Tara knows that for her small business to grow, she must increase her cash flow. She's unsure, though, whether she should take out a loan or a line of credit. Which of the following budgeting software tools could Tara use to assess the potential impact of each source of funding on her business:",Decision trees,Debt modeling,Environmental scanning,Zero-based modeling,B,"Debt modeling. Some budgeting software applications include a debt modeling tool which allows the user to assess the potential impact of loans and lines of credit. To use the debt modeling tool, the user would input the terms of the loan or line of credit, including the interest rate, term, principal, etc. Decision trees are a data-mining technique commonly used to classify data and build models. Environmental scanning involves gathering information about the environment surrounding a business, analyzing that information, and determining the future impact of that information on the business. Zero-based modeling is a method of budgeting that requires a manager to demonstrate the need for every expense instead of relying on figures from a previous period. https://corporatefinanceinstitute.com/resources/questions/model-questions/financialmodeling-debt/",Financial Management,7,hard
"To determine the bills that are due in the next 10 days and the dollar amount of each bill, a company needs to use a financial analysis application to evaluate its",accounts payable.,dividend payments.,sales revenue.,credit rating.,A,Accounts payable. Accounts payable are the monies owed by the business to others. Accounts-payable applications help businesses organize bills and allocate funds to pay bills when they are due. Budgeting tools and sales applications can help a business analyze its sales revenue. Dividends are payments made to stockholders for their investments. A credit rating is the score assigned to a borrower based on previous loans. http://www.investopedia.com/terms/a/accountspayable.asp,Financial Management,7,hard
What is the relationship between financial information and lean-focused organizations?,Studying lean organizations provides financial information.,Lean organizations have less need for financial information.,Financial information provides ways to reduce wasted resources.,Financial information helps organizations reduce errors.,C,"Financial information provides ways to reduce wasted resources. Lean organizations are those that are focused on maximizing customer value while minimizing waste. Financial information can highlight areas where spending is excessive and can be reduced, for example. Lean organizations do not have less need for financial information. Studying lean organizations does not necessarily provide financial information. Finally, financial information might help organizations reduce errors, but reducing errors is not necessarily the focus of lean organizations. reporting, activity-based costing [ABC], six sigma) https://www.lean.org/WhatsLean/",Financial Management,7,hard
Financial information that a credit card issuer analyzes when reviewing customers' credit card applications include the customers',payment history and current level of debt.,income and preferred standard of living.,employment status and financial goals.,loan balances and consumption rates.,A,"Payment history and current level of debt. Because offering credit is a risk to businesses, they must evaluate many factors to determine the likelihood that a customer will pay credit balances when they are due. Credit card issuers may review the applicant's credit report, which provides details about the customer's payment history of other loans and bills. Another factor analyzed is the applicant's current level of debt, which might include current loan balances with other institutions. Also reviewed is the applicant's employment status and income level, which reveals the applicant's ability to cover his/her debts. The applicant's financial goals, consumption rates, and preferred standard of living are not primary factors that influence an institution's decision to offer credit. from http://www.credit.com/credit-scores/what-is-a-bad-credit-score/",Financial Management,7,hard
"Julia, an HR director, hires a new employee at her company. Which of the following actions should Julia take to orient the new employee:",Allow the employee to get straight to work and run through the rules later,"Focus on job duties and procedures, not getting to know coworkers",Assign a mentor or â€œbuddyâ€ to help the new employee learn the ropes,Encourage the employee to talk about his/her religious and political views,C,"Assign a mentor or â€œbuddyâ€ to help the new employee learn the ropes. An experienced employee can become a mentor for a new employee. This person can answer questions that the new employee has and give her/him a built-in personal connection at the company. Orientation should not just focus on job duties and proceduresâ€”it's also important to touch on the more personal aspects of the job, such as getting to know coworkers and supervisors. Employees should learn the rules and regulations of the company before they dive into work; otherwise, they may make mistakes that could cost the business time and money. Julia shouldn't encourage the new employee to talk about his/her religious or political views at work. This is unprofessional. Retrieved July 10, 2020, from https://smallbusiness.chron.com/importance-new-employeeorientation-human-resources-10242.html",Human Resources Management,7,medium
Becoming more socially minded in marketing can bring a business,more products.,lower costs.,higher profits.,a competitive advantage.,D,"A competitive advantage. Since many consumers are interested in socially responsible products, being socially minded can give a business a competitive advantage over companies who are not practicing socially responsible marketing. Socially minded marketing does not necessarily lead to lower costs, higher profits, or more products.",Marketing,7,easy
"Many businesses provide detailed privacy policies to their customers that explain the safeguards the company has taken to protect the customers' sensitive information. For example, a privacy policy may state that the business will not share a customer's personal information with anyone unless they are given direct permission by the customer. This is an example of a legal issue associated with",the company's public relations.,federal government security.,customers' constitutional rights.,information management.,D,"Information management. The government has many regulations in place that are intended to protect the privacy of customers. Businesses are required by law, therefore, to protect their customers' sensitive information. This is an example of a legal issue associated with information management, not federal government security, customers' constitutional rights, or the company's public relations efforts. Retrieved July 10, 2020, from https://www.smartdatacollective.com/why-consumer-dataprivacy-is-more-important-than-ever/",Information Management,7,hard
"Hardware, software, and databases are all components of ___________ systems.",information,ethics,email,word-of-mouth,A,"Information. An information system is a set of components (including hardware, software, databases, and human resources) that collects, processes, and interprets information. Word-of-mouth is promotion for a business provided by customers who tell others of their satisfaction with the business. Ethics are the basic principles that govern your behavior. This is not an email system. https://www.britannica.com/topic/information-system",Information Management,7,medium
Employees who are working on a project from distant locations can transfer information more efficiently by,sharing documents with file sharing software.,composing and sending detailed email messages.,mailing physical documents to one another.,scheduling meetings in order to work together.,A,"Sharing documents with file sharing software. File sharing enables employees to easily and quickly collaborate with each other and share information. Composing and sending detailed email messages can be time-consuming. Mailing physical documents takes a lot longer and is usually only needed for legal forms that require signatures. Finding time when everyone can work together may be difficult for employees working from distant locations. voice 2020, from https://www.lifewire.com/file-sharing-on-computer-networks-817371",Information Management,7,medium
What is the first step in designing a multi-table query?,Set the correct join direction.,Determine the criteria.,Locate the correct tables.,Pinpoint exactly what you want to know.,D,"Pinpoint exactly what you want to know. In order to create a successful multi-table query, the first step is figuring out exactly what question you want the database to answer. If you aren't exactly sure what you want to know, the database cannot provide you with the information you need. Determining the criteria for the query, locating the correct tables, and setting the correct join direction are all important steps to take before creating the query, but none of them will be successful unless the exact question has been determined first. Retrieved July 10, 2020, from https://www.gcflearnfree.org/access2013/designing-amultitable-query/1/",Information Management,8,easy
A company analyzing data from past holiday sales periods to make decisions concerning release dates for new products is using __________ analytics.,big data,predictive,prescriptive,descriptive,B,"Predictive. Predictive analytics is used to analyze trends in past consumer behavior to predict future behavior. Descriptive analytics is used to condense big data into smaller, more useful pieces of information. Big data analytics refers to analyzing large amounts of data to discover patterns or trends and is not likely to describe specific holiday sales period data. Prescriptive analytics is used to go beyond descriptive and predictive models by recommending one or more courses of action and showing the likely business result of each decision. diagnostic analytics. Retrieved July 10, 2020, from https://www.logianalytics.com/predictiveanalytics/comparing-descriptive-predictive-prescriptive-and-diagnosticanalytics/#:~:text=Descriptive%20Analytics%20tells%20you%20what,take%20to%20affect% 20those%20outcomes.",Information Management,8,medium
Businesses that use computer software to track the customers' billing information and sales transactions create records about their customers',payment history.,financial plans.,income level.,personal preferences.,A,"Payment history. Businesses keep many types of records about their customers. Billing information and sales transactions contain information about the dollar amount owed, sales tax, payment methods, date of payment, etc. Keeping these types of records for extended time frames provides the business with the customer's payment history. Billing information and sales transactions do not always provide specific information about the customers' financial plans, income levels, or personal preferences. 2020, from https://www.helcim.com/article/keep-track-of-customer-data-with-a-crm/",Information Management,8,medium
Which of the following examples illustrates how environmental factors are dynamic:,The government provides subsidies to agricultural businesses.,Demographics influence social and cultural attitudes.,The economy impacts government policies.,High interest rates will eventually get lower.,D,"High interest rates will eventually get lower. Interest rates' fluctuating is an example of how environmental factors are dynamic, or always changing. The influence of factors on each other is an example of how environmental factors are interrelated. The government providing agricultural subsidies is an example of how certain factors impact some industries more than others.",Information Management,8,medium
"Ten customers reviewed a product online. Five of them gave the product five stars, two gave four stars, two gave three stars, and one gave one star. What is the mode value of this data set?",5,4.5,4,3,A,"5. The mode is the most frequently occurring number in a data set. In this example, more customers gave the product five stars versus four, three, two, or one stars, so the mode is five. Four is the mean (average), and 4.5 is the median (middle number). http://www.purplemath.com/modules/meanmode.htm",Information Management,8,hard
Which of the following may happen if a business cuts costs:,It may pay fewer taxes.,It may improve product quality.,It may boost its community involvement.,It may hire more employees.,A,"It may pay fewer taxes. If a business cuts costs, it may pay fewer taxes (if finding tax loopholes is part of the cost-savings plan). This is not always a good thing for the community in which the business operates! When a business cuts costs, it usually sacrifices product quality, spends less time and money in the community, and does not create new jobs.",Operations,8,easy
"So that employees are prepared to act if an accident occurs in the workplace, many businesses provide them with __________ training.",security,fitness,first-aid,fire-response,C,"First-aid. Many businesses provide employees with first-aid training and certification. By knowing what to do if accidents occur in the workplace, employees can help stabilize accident victims until professional medical assistance arrives at the scene. Fire-response training provides employees with knowledge about handling fires in the workplace. Security policies and actions are geared toward preventing robbery and theft in the workplace. Fitness training involves physical exercise. your workplace. Retrieved July 10, 2020, from https://www.firstaidsuppliesonline.com/develop-best-first-aid-program-workplace/",Operations,8,medium
How can a company protect its company name from being imitated by others?,Obtain trademark protection,Place it in the public domain,Apply for a patent,Copyright it,A,Obtain trademark protection. Trademarks protect the unique names of organizations by preventing others from using them. Items placed in the public domain are available for legal use by anyone. Patents are https://www.thebalance.com/intellectual-property-patents-trademarks-1201095,Operations,8,easy
Which of the following is a true statement about a project plan:,It emphasizes flexibility over strategy.,It is not necessary for every project.,It is a road map.,"It is ""set in stone""â€”unchanging.",C,"It is a road map. A project plan is a set of living, related documents that serve as a road map for the project from beginning to end. Every successful project relies on a good project plan. A project plan shows the balance between flexibility and strategy, but it does not emphasize one over the other. A project plan isnâ€™t set in stone; rather, it should be amended as necessary throughout the life of the project.",Operations,8,easy
"When you want to select a new vendor for your business, it's best to",continue using a vendor you've used before.,go with a friend's recommendation.,use a formal selection process.,pick the vendor with the best online reviews.,C,"Use a formal selection process. Selecting a new vendor is a big decision. Depending on what service or product you're buying, you could be investing a lot of money. Using a formal selection process is the smartest and most effective way to make sure you find the vendor that's the best fit for your business. Although you may trust your friend's recommendation, s/he might not share your ideas about what makes a good vendor. It's best to find someone who fits your business's particular needs. Although continuing to use a vendor you've used before isn't necessarily a bad choice, it's still a good idea to find out what other options you have. There might be an even better vendor you just don't know about yet. It's certainly a good sign if a vendor has positive online reviews, but that doesn't mean the vendor will automatically be a good fit for you. Everyone has different needs, and what works for one company might not work for yours. Retrieved July 10, 2020, from http://www.businessknowhow.com/manage/choosevendor.htm",Operations,8,easy
"To maintain a quality work culture throughout all levels of an organization, it is important for businesses to",train employees thoroughly.,solve problems with minimal input.,emphasize short-term gains.,focus primarily on financial issues.,A,"Train employees thoroughly. An important aspect of maintaining a quality work culture is making sure that employees know how to perform their jobs correctly and efficiently. And for employees to perform their jobs to the best of their abilities, businesses need to provide them with thorough training. Businesses often provide ongoing training so that employees are able to keep up with technological changes. Businesses also create and maintain a quality work culture by getting input from internal and external sources to solve problems when needed. Emphasizing short-term gains and focusing primarily on financial issues are barriers to maintaining a quality work culture. 2020, from https://quality.eqms.co.uk/blog/creating-a-culture-of-quality",Operations,9,medium
Which of the following is one of a business's biggest expenses:,Payroll,Insurance,Rent,Utilities,A,"Payroll. Payroll is the money a business pays out for salaries and wages to its employees. It is one of a business's biggest expenses. Therefore, it is important for businesses to get full value for their payroll dollars in order to control expenses. Utilities are part of operating expenses and include heat, water, etc. Insurance is a contractual agreement in which one company will pay for specified losses incurred by the other company in return for installment payments. Rent is money payments for the use of land or property. costs. Retrieved July 10, 2020, from https://www.paycor.com/resource-center/a-closer-lookat-laborcosts#:~:text=HR%20Co%2Downs%20Labor%20Costs,payroll%20or%20other%20related% 20taxes.",Operations,9,easy
Which of the following is a common result of supply chain collaboration:,Customer dissatisfaction,Slower decision-making,Reduced overall costs,Frequent miscommunication,C,"Reduced overall costs. Supply chain collaboration results in increased knowledge sharing among chain members, which can lead to reduced overall costs. Supply chain collaboration can also lead to clearer, more frequent communication among chain members, faster decision-making, and greater customer satisfaction. from http://www.supplytechnologies.com/blog/the-importance-of-supply-chain-collaboration",Operations,9,easy
"Shoshanna wants to become a manager at her office by the end of next year. She writes down what she wants, breaks it down into achievable steps, visualizes herself succeeding, and periodically reviews her progress. Shoshanna is engaging in",objective predicting.,goal setting.,success forecasting.,progress planning.,B,"Goal setting. Goal setting is the ability to visualize, set, and focus on achieving objectives. It's how you determine what it is you want to do. The basic steps of goal setting include choosing your goal, writing your goal down, breaking your goal down, visualizing your goal, and reviewing and updating your goal regularly. Objective predicting, success forecasting, and progress planning are not terms commonly used to describe goal setting.",Professional Development,9,hard
What do coworkers who are involved in a dispute need to do before they can find a possible solution?,Negotiate a settlement.,Ignore the situation.,Contact an arbitrator.,Identify the problem.,D,"Identify the problem. The first step in resolving conflict involves identifying the problem. If coworkers are involved in a dispute, they need to identify exactly what the problem is before they can find a possible solution. Determining the conflict is often difficult because the parties involved may have different opinions about the problem. Once coworkers take the time to discuss the conflict and identify the exact problem, they will be in a better position to agree on a possible solution. Ignoring the situation usually makes the dispute worse and does not solve the problem. Arbitrators usually negotiate problems between management and labor. Negotiating a settlement is the last step in resolving conflict.",Professional Development,9,easy
"Salaries, commissions, and bonuses obtained from a job are examples of __________ rewards.",intrinsic,extrinsic,concomitant,vocational,B,"Extrinsic. These are the actual rewards obtained for performing the job. Intrinsic rewards come from within yourself. Concomitant rewards result from such working conditions as a pleasant work environment or good relationships with coworkers. Vocational satisfaction or reward is the overall pleasure obtained from working in an occupation. from https://www.dcrstrategies.com/employee-incentives/employee-rewards-intrinsic-vsextrinsic/#:~:text=Extrinsic%20rewards%20are%20concrete%20rewards,%2C%20promotion s%2C%20and%20fringe%20benefits.",Professional Development,9,medium
"Job interviewers often say to job applicants, ""Tell me about yourself."" Which of the following is the purpose of this request:",To test the applicant's communication skills,To test the applicant's honesty and integrity,To find out about the applicant's personal life,To uncover job-related problems the applicant has,A,"To test the applicant's communication skills. Job interviewers ask interviewees to talk about themselves in order to evaluate their skills in expressing themselves. They also hope to learn more about the applicant than is supplied in the rÃ©sumÃ© or on the job application. The question is not intended to be a probe into the applicant's personal life, an attempt to uncover problems, or a test of honesty and integrity. interviews. Retrieved July 10, 2020, from https://blog.hubspot.com/marketing/tell-me-aboutyourself",Professional Development,9,medium
"Beginning securities sales agents, or brokers, are required to",work with a mentor.,pass a licensing exam.,register with the Securities and Exchange Commission.,settle for below-average salaries in exchange for short work weeks.,B,"Pass a licensing exam. According to the U.S. Department of Labor, beginning securities sales agents, commonly called brokers, are required to pass a licensing exam to sell securities. They are not required to work with a mentor. They are required to register with the Securities and Exchange Commission only when they do a certain high volume of business. Typically, they do not settle for below-average salaries in exchange for short work weeks. The opposite is trueâ€”they can earn high salaries but often have to accommodate their clients' schedules by working nights and weekends.",Professional Development,9,easy
Which of the following statements regarding corporate governance is true:,The principles of corporate governance often conflict with sustainability.,Small businesses do not need formal corporate governance.,Corporate governance keeps any one person from having too much control.,The focus of corporate governance is social rather than financial.,C,"Corporate governance keeps any one person from having too much control. Corporate governance is the system by which directors handle their responsibility toward shareholders. It includes the techniques used to direct and manage a company, usually conducted by the board of directors. One of the roles of corporate governance is to keep one person in an organization from exerting too much control. This ensures fairness and accountability to stakeholders. It is not true that small businesses have no need for formal corporate governance; organizations of all sizes can benefit from it. The principles of corporate governance support and encourage sustainability, rather than conflicting with it. Finally, corporate governance focuses on both social and financial aspects of an organization. https://www.icaew.com/technical/corporate-governance/principles/principles-articles/doescorporate-governancematter#:~:text=Corporate%20governance%20is%20the%20system,governance%20structure %20is%20in%20place.",Professional Development,9,medium
One way that organizations can achieve their corporate governance objectives is by,allowing senior managers to serve on the board of directors.,preventing stakeholders from viewing financial information.,encouraging employee participation at board meetings.,releasing an annual report detailing their failures and losses.,C,"Encouraging employee participation at board meetings. Achieving corporate governance objectives requires the participation of all people involved with a company. It is especially important for an organization's employees to be actively engaged in corporate governance. Employees should be encouraged to participate in board meetings to raise questions or concerns that they may have about the company's actions. Preventing stakeholders from viewing financial information, allowing senior managers to serve on the board of directors, and releasing an annual report detailing their failures and losses are not appropriate steps companies should take to achieve corporate governance objectives. 2020, from http://www.safetrac.com.au/achieving-good-corporate-governance/",Professional Development,9,medium
"When you use an infographic to represent data, your audience",won't remember your key points.,can become easily confused.,will pay more attention.,will mistrust your expertise.,C,"Will pay more attention. Infographics are visual representations of data. Infographics are much better at capturing and holding an audience's attention than the data themselves. Infographics also simplify complex data and make them easier to understand, rather than causing your audience to become easily confused. Infographics are generally more memorable than a list of complex data, so your audience is more likely to remember your key points if they are represented visually. Finally, infographics do not necessarily cause audiences to mistrust your expertise. outputs) examples). Retrieved July 10, 2020, from https://piktochart.com/blog/present-complex-datainfographics-examples/",Communication Skills,10,easy
How can you easily and automatically track your bank account withdrawals and deposits?,Organize your financial paperwork.,Save your receipts and compare them to your bank statement.,Use a mobile banking or budgeting app.,Make a list of all of your bills and when they are due.,C,"Use a mobile banking or budgeting app. Technology has made it easy to automatically track your financial transactions and access records of your financial activity. You can connect these apps to your bank accounts and they will track everything for you. Saving your receipts and comparing them to your bank statement is not an automatic way to track withdrawals and deposits. Organizing your financial paperwork is a good idea, but it is not related to easily and automatically tracking your withdrawals and deposits. Making a list of all of your bills and when they are due is also a good idea, but it is not automatic. Retrieved July 10, 2020, from https://www.businessinsider.com/best-online-budget-apps2017-6",Financial Analysis,10,medium
Which of the following is a business alliance organization that operates on a local level:,Seattle Metropolitan Chamber of Commerce,International Federation of Social Workers,Small Business Administration,National Restaurant Association,A,"Seattle Metropolitan Chamber of Commerce. The Seattle Metropolitan Chamber of Commerce is an example of a business alliance organization that operates at a local level. The purpose of the chamber of commerce is to unite individuals and different types of businesses at the local level (e.g., Seattle, Washington, USA). The organization's members work together to influence policy, advocate issues, and solve common problems. The International Federation of Social Workers consists of members throughout the world. The Small Business Administration is a U.S.-based government agency created to assist small businesses. The National Restaurant Association is a nationwide professional organization whose members work in the restaurant industry. journals/periodicals, professional/trade associations, classes/seminars, trade shows, and mentors) http://www.seattlechamber.com/home/about",Professional Development,10,easy
"Career growth opportunities, access to information available only to industry insiders, and increased technical knowledge are all benefits of",maintaining a healthy work-life balance.,working overtime every week.,building professional relationships.,avoiding office-wide social events.,C,"Building professional relationships. Professional relationships in finance can lead to many benefits, including career growth, access to insider information, and increased knowledge. Individuals can form professional relationships through networking, not by working overtime every week, maintaining a healthy work-life balance, or by avoiding office-wide social events. 2020, from https://financialcareeroptions.com/networking-in-the-financial-industry/",Professional Development,10,medium
Which of the following ethical issues is most likely to cause hazard risks:,Unsafe working conditions,Conflicts of interest,Misuse of resources,Lack of transparency,A,"Unsafe working conditions. Hazard risks are situations that can cause injury or harm to people, property, or the environment. They are most likely to result from issues related to unsafe working conditions. Lack of transparency, misuse of resources, and conflicts of interest are more likely to cause strategic, operational, or financial risks than hazard risks.",Risk Management,10,easy
"A business can protect its computerized financial data from losses associated with fire, flood, and electrical outages by",performing backup procedures on a regular basis.,installing intrusion detection systems.,changing passwords and encryption techniques periodically.,implementing a manual filing system.,A,"Performing backup procedures on a regular basis. Backing up the computer system and storing the backup information off-site can reduce financial losses due to uncontrollable circumstances such as electrical outages or fire. Businesses that do not perform backup procedures on a regular basis may lose the data for good or take a lot of time and money to replace if a disaster harms its computer systems. Computer systems help make businesses operate more efficiently than manual systems do. Different types of intrusion detection systems (e.g., firewalls) are designed to protect the business's computer systems from unauthorized access. Passwords and encryption are additional techniques used to secure access to computer information. Retrieved July 10, 2020, from https://www.aicpa.org/InterestAreas/FRC/AssuranceAdvisoryServices/DownloadableDocume nts/ASEC_Whitepapers/Risk_Technology.pdf",Risk Management,10,hard
"To reduce the risk of future legal problems, a company might require its business partners to sign a formal",invoice.,contract.,premium.,warrant.,B,"Contract. A contract is an agreement between two or more parties stating that one party is to do something in return for something provided by the other party. By putting the terms of an agreement or business arrangement in a written contract that both parties sign, the business reduces the risk of misunderstanding about what is expected and what will be provided. When agreements are not documented and a problem occurs, legal action may be required, which can be costly to the business. An invoice is a bill. A premium is a fee for an insurance policy. A warrant is a legal document issued by authorities that requires an individual or business to take a certain action. July 10, 2020, from https://www.thebalancesmb.com/basics-of-business-contracts-andagreements-397811",Risk Management,10,easy
